#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.000 10.000 -0.697 17.970 -1.220 23.947 0.000 -0.087 0.000
0.000 10.000 -1.389 17.878 -2.431 23.787 0.000 -0.175 0.000
0.000 10.000 -2.071 17.727 -3.623 23.523 0.000 -0.262 0.000
0.000 10.000 -2.736 17.518 -4.788 23.156 0.000 -0.349 0.000
0.000 10.000 -3.381 17.250 -5.917 22.688 0.000 -0.436 0.000
0.872 9.962 -1.865 17.479 -3.917 23.118 0.087 -0.436 0.000
1.736 9.848 -0.334 17.575 -1.887 23.371 0.175 -0.436 0.000
1.736 9.848 -0.334 17.575 -2.386 23.214 0.175 -0.436 -0.087
1.736 9.848 -0.334 17.575 -2.870 23.013 0.175 -0.436 -0.175
1.736 9.848 -0.334 17.575 -3.334 22.772 0.175 -0.436 -0.262
1.736 9.848 -0.334 17.575 -3.776 22.490 0.175 -0.436 -0.349
1.736 9.848 -0.334 17.575 -4.191 22.172 0.175 -0.436 -0.436
1.736 9.848 -0.334 17.575 -4.577 21.818 0.175 -0.436 -0.524
1.736 9.848 -0.334 17.575 -4.930 21.432 0.175 -0.436 -0.611
1.736 9.848 -0.334 17.575 -5.249 21.017 0.175 -0.436 -0.698
1.736 9.848 -0.334 17.575 -5.530 20.575 0.175 -0.436 -0.785
1.736 9.848 -0.334 17.575 -5.772 20.111 0.175 -0.436 -0.873
1.736 9.848 -0.334 17.575 -5.972 19.628 0.175 -0.436 -0.960
1.736 9.848 -0.334 17.575 -6.130 19.128 0.175 -0.436 -1.047
1.736 9.848 -0.334 17.575 -6.243 18.617 0.175 -0.436 -1.134
1.736 9.848 -0.334 17.575 -6.311 18.098 0.175 -0.436 -1.222
1.736 9.848 -0.334 17.575 -6.334 17.575 0.175 -0.436 -1.309
1.736 9.848 -0.334 17.575 -6.311 17.053 0.175 -0.436 -1.396
1.736 9.848 -0.334 17.575 -6.243 16.534 0.175 -0.436 -1.484
1.736 9.848 -0.334 17.575 -6.130 16.023 0.175 -0.436 -1.571
0.872 9.962 -1.865 17.479 -7.503 15.427 0.087 -0.436 -1.571
-0.000 10.000 -3.381 17.250 -8.819 14.715 -0.000 -0.436 -1.571
-0.872 9.962 -4.872 16.890 -10.068 13.890 -0.087 -0.436 -1.571
-0.872 9.962 -5.460 16.515 -10.375 13.074 -0.087 -0.524 -1.571
-0.872 9.962 -6.014 16.090 -10.610 12.234 -0.087 -0.611 -1.571
-0.872 9.962 -6.528 15.619 -10.771 11.376 -0.087 -0.698 -1.571
-0.872 9.962 -7.000 15.104 -10.857 10.508 -0.087 -0.785 -1.571
-0.872 9.962 -7.425 14.551 -10.866 9.636 -0.087 -0.873 -1.571
-0.000 10.000 -6.128 15.142 -9.985 10.546 -0.000 -0.873 -1.571
0.872 9.962 -4.785 15.619 -9.028 11.376 0.087 -0.873 -1.571
1.736 9.848 -3.406 15.976 -8.002 12.120 0.175 -0.873 -1.571
2.588 9.659 -2.000 16.212 -6.915 12.771 0.262 -0.873 -1.571
3.420 9.397 -0.580 16.325 -5.776 13.325 0.349 -0.873 -1.571
3.420 9.397 -0.580 16.325 -6.018 13.789 0.349 -0.873 -1.484
3.420 9.397 -0.580 16.325 -6.218 14.273 0.349 -0.873 -1.396
3.420 9.397 -0.580 16.325 -6.375 14.772 0.349 -0.873 -1.309
3.420 9.397 -0.580 16.325 -6.489 15.283 0.349 -0.873 -1.222
3.420 9.397 -1.168 15.950 -6.964 14.397 0.349 -0.960 -1.222
3.420 9.397 -1.722 15.525 -7.360 13.473 0.349 -1.047 -1.222
3.420 9.397 -2.237 15.054 -7.674 12.518 0.349 -1.134 -1.222
3.420 9.397 -2.708 14.539 -7.904 11.539 0.349 -1.222 -1.222
3.420 9.397 -3.133 13.986 -8.048 10.544 0.349 -1.309 -1.222
3.420 9.397 -3.508 13.397 -8.104 9.540 0.349 -1.396 -1.222
3.420 9.397 -3.830 12.778 -8.073 8.535 0.349 -1.484 -1.222
4.226 9.063 -2.702 13.063 -7.298 9.206 0.436 -1.484 -1.222
5.000 8.660 -1.553 13.249 -6.468 9.807 0.524 -1.484 -1.222
5.736 8.192 -0.393 13.334 -5.589 10.334 0.611 -1.484 -1.222
5.736 8.192 -0.393 13.334 -5.830 10.798 0.611 -1.484 -1.134
5.736 8.192 -0.393 13.334 -6.031 11.282 0.611 -1.484 -1.047
5.736 8.192 -0.393 13.334 -6.188 11.781 0.611 -1.484 -0.960
5.736 8.192 -0.393 13.334 -6.301 12.292 0.611 -1.484 -0.873
5.736 8.192 -0.393 13.334 -6.370 12.811 0.611 -1.484 -0.785
5.736 8.192 -0.393 13.334 -6.393 13.334 0.611 -1.484 -0.698
5.736 8.192 0.079 13.848 -5.898 14.371 0.611 -1.396 -0.698
5.736 8.192 0.079 13.848 -5.921 13.848 0.611 -1.396 -0.785
5.736 8.192 0.079 13.848 -5.898 13.325 0.611 -1.396 -0.873
5.736 8.192 0.079 13.848 -5.830 12.806 0.611 -1.396 -0.960
5.736 8.192 0.079 13.848 -5.898 13.325 0.611 -1.396 -0.873
5.736 8.192 0.079 13.848 -5.921 13.848 0.611 -1.396 -0.785
5.736 8.192 0.079 13.848 -5.898 14.371 0.611 -1.396 -0.698
5.736 8.192 0.079 13.848 -5.830 14.890 0.611 -1.396 -0.611
