#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.872 9.962 1.569 17.932 2.092 23.909 0.087 0.000 0.000
0.000 10.000 0.000 18.000 0.000 24.000 0.000 0.000 0.000
-0.872 9.962 -1.569 17.932 -2.092 23.909 -0.087 0.000 0.000
-1.736 9.848 -3.126 17.727 -4.168 23.635 -0.175 0.000 0.000
-2.588 9.659 -4.659 17.387 -6.212 23.182 -0.262 0.000 0.000
-2.588 9.659 -4.659 17.387 -6.711 23.025 -0.262 0.000 -0.087
-2.588 9.659 -4.659 17.387 -7.194 22.825 -0.262 0.000 -0.175
-2.588 9.659 -4.659 17.387 -7.659 22.583 -0.262 0.000 -0.262
-2.588 9.659 -4.659 17.387 -8.100 22.302 -0.262 0.000 -0.349
-2.588 9.659 -4.659 17.387 -8.515 21.983 -0.262 0.000 -0.436
-2.588 9.659 -4.659 17.387 -8.901 21.629 -0.262 0.000 -0.524
-2.588 9.659 -4.659 17.387 -9.255 21.243 -0.262 0.000 -0.611
-2.588 9.659 -4.659 17.387 -9.574 20.828 -0.262 0.000 -0.698
-2.588 9.659 -4.659 17.387 -9.855 20.387 -0.262 0.000 -0.785
-2.588 9.659 -4.659 17.387 -10.097 19.922 -0.262 0.000 -0.873
-2.588 9.659 -4.659 17.387 -10.297 19.439 -0.262 0.000 -0.960
-2.588 9.659 -4.659 17.387 -10.454 18.940 -0.262 0.000 -1.047
-2.588 9.659 -4.659 17.387 -10.568 18.429 -0.262 0.000 -1.134
-2.588 9.659 -4.659 17.387 -10.636 17.910 -0.262 0.000 -1.222
-2.588 9.659 -4.659 17.387 -10.659 17.387 -0.262 0.000 -1.309
-2.588 9.659 -4.659 17.387 -10.636 16.864 -0.262 0.000 -1.396
-2.588 9.659 -4.659 17.387 -10.568 16.345 -0.262 0.000 -1.484
-2.588 9.659 -4.659 17.387 -10.454 15.834 -0.262 0.000 -1.571
-2.588 9.659 -4.659 17.387 -10.568 16.345 -0.262 0.000 -1.484
-2.588 9.659 -4.659 17.387 -10.636 16.864 -0.262 0.000 -1.396
-2.588 9.659 -4.659 17.387 -10.659 17.387 -0.262 0.000 -1.309
-2.588 9.659 -4.659 17.387 -10.636 17.910 -0.262 0.000 -1.222
-2.588 9.659 -4.659 17.387 -10.568 18.429 -0.262 0.000 -1.134
-2.588 9.659 -4.659 17.387 -10.454 18.940 -0.262 0.000 -1.047
