#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.000 10.000 0.000 18.000 0.523 23.977 0.000 0.000 0.087
0.000 10.000 0.000 18.000 1.042 23.909 0.000 0.000 0.175
0.000 10.000 0.000 18.000 1.553 23.796 0.000 0.000 0.262
0.000 10.000 0.000 18.000 2.052 23.638 0.000 0.000 0.349
0.000 10.000 0.000 18.000 2.536 23.438 0.000 0.000 0.436
0.000 10.000 -0.697 17.970 1.355 23.608 0.000 -0.087 0.436
0.000 10.000 -1.389 17.878 0.164 23.674 0.000 -0.175 0.436
0.000 10.000 -2.071 17.727 -1.029 23.636 0.000 -0.262 0.436
0.000 10.000 -2.736 17.518 -2.213 23.495 0.000 -0.349 0.436
0.000 10.000 -3.381 17.250 -3.381 23.250 0.000 -0.436 0.436
0.000 10.000 -4.000 16.928 -4.523 22.905 0.000 -0.524 0.436
0.000 10.000 -4.589 16.553 -5.631 22.462 0.000 -0.611 0.436
-0.872 9.962 -6.014 16.090 -7.567 21.886 -0.087 -0.611 0.436
-1.736 9.848 -7.393 15.505 -9.445 21.143 -0.175 -0.611 0.436
-2.588 9.659 -8.717 14.802 -11.252 20.239 -0.262 -0.611 0.436
-2.588 9.659 -8.717 14.802 -10.769 20.440 -0.262 -0.611 0.524
-2.588 9.659 -8.717 14.802 -10.269 20.597 -0.262 -0.611 0.611
-2.588 9.659 -8.717 14.802 -9.758 20.710 -0.262 -0.611 0.698
-2.588 9.659 -8.717 14.802 -9.239 20.779 -0.262 -0.611 0.785
-1.736 9.848 -7.393 15.505 -7.393 21.505 -0.175 -0.611 0.785
-0.872 9.962 -6.014 16.090 -5.491 22.067 -0.087 -0.611 0.785
0.000 10.000 -4.589 16.553 -3.547 22.462 0.000 -0.611 0.785
0.872 9.962 -3.128 16.890 -1.576 22.686 0.087 -0.611 0.785
1.736 9.848 -1.644 17.099 0.408 22.737 0.175 -0.611 0.785
1.736 9.848 -1.000 17.366 1.536 22.803 0.175 -0.524 0.785
1.736 9.848 -0.334 17.575 2.666 22.772 0.175 -0.436 0.785
1.736 9.848 0.347 17.727 3.789 22.641 0.175 -0.349 0.785
1.736 9.848 1.039 17.818 4.896 22.414 0.175 -0.262 0.785
1.736 9.848 1.736 17.848 5.979 22.091 0.175 -0.175 0.785
1.736 9.848 1.736 17.848 5.593 22.444 0.175 -0.175 0.698
1.736 9.848 1.736 17.848 5.178 22.763 0.175 -0.175 0.611
1.736 9.848 1.736 17.848 4.736 23.044 0.175 -0.175 0.524
1.736 9.848 1.736 17.848 4.272 23.286 0.175 -0.175 0.436
1.736 9.848 1.736 17.848 3.789 23.486 0.175 -0.175 0.349
1.736 9.848 1.736 17.848 4.272 23.286 0.175 -0.175 0.436
1.736 9.848 1.736 17.848 4.736 23.044 0.175 -0.175 0.524
1.736 9.848 1.736 17.848 5.178 22.763 0.175 -0.175 0.611
1.736 9.848 1.736 17.848 5.593 22.444 0.175 -0.175 0.698
1.736 9.848 1.736 17.848 5.979 22.091 0.175 -0.175 0.785
1.736 9.848 1.736 17.848 6.333 21.705 0.175 -0.175 0.873
1.736 9.848 1.736 17.848 6.651 21.290 0.175 -0.175 0.960
1.736 9.848 1.736 17.848 6.933 20.848 0.175 -0.175 1.047
1.736 9.848 1.736 17.848 7.174 20.384 0.175 -0.175 1.134
1.736 9.848 1.736 17.848 7.375 19.900 0.175 -0.175 1.222
1.736 9.848 1.736 17.848 7.532 19.401 0.175 -0.175 1.309
1.736 9.848 1.736 17.848 7.645 18.890 0.175 -0.175 1.396
1.736 9.848 1.736 17.848 7.714 18.371 0.175 -0.175 1.484
1.736 9.848 1.736 17.848 7.736 17.848 0.175 -0.175 1.571
0.872 9.962 0.174 17.932 6.151 18.454 0.087 -0.175 1.571
0.000 10.000 -1.389 17.878 4.520 18.920 0.000 -0.175 1.571
-0.872 9.962 -2.942 17.689 2.853 19.242 -0.087 -0.175 1.571
-1.736 9.848 -4.473 17.366 1.166 19.418 -0.175 -0.175 1.571
-2.588 9.659 -5.969 16.910 -0.531 19.445 -0.262 -0.175 1.571
-3.420 9.397 -7.420 16.325 -2.224 19.325 -0.349 -0.175 1.571
-4.226 9.063 -8.815 15.616 -3.900 19.058 -0.436 -0.175 1.571
