#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.000 10.000 0.000 18.000 0.523 23.977 0.000 0.000 0.087
0.000 10.000 0.000 18.000 1.042 23.909 0.000 0.000 0.175
0.000 10.000 0.000 18.000 1.553 23.796 0.000 0.000 0.262
0.000 10.000 0.000 18.000 2.052 23.638 0.000 0.000 0.349
0.000 10.000 0.000 18.000 2.536 23.438 0.000 0.000 0.436
0.000 10.000 0.000 18.000 3.000 23.196 0.000 0.000 0.524
0.000 10.000 0.000 18.000 3.441 22.915 0.000 0.000 0.611
0.000 10.000 0.000 18.000 3.857 22.596 0.000 0.000 0.698
0.000 10.000 0.000 18.000 4.243 22.243 0.000 0.000 0.785
0.000 10.000 0.000 18.000 4.596 21.857 0.000 0.000 0.873
0.000 10.000 0.000 18.000 4.915 21.441 0.000 0.000 0.960
0.000 10.000 0.000 18.000 5.196 21.000 0.000 0.000 1.047
0.000 10.000 0.000 18.000 5.438 20.536 0.000 0.000 1.134
0.000 10.000 0.000 18.000 5.638 20.052 0.000 0.000 1.222
0.000 10.000 0.000 18.000 5.796 19.553 0.000 0.000 1.309
0.000 10.000 0.000 18.000 5.909 19.042 0.000 0.000 1.396
0.000 10.000 0.000 18.000 5.977 18.523 0.000 0.000 1.484
0.000 10.000 0.000 18.000 6.000 18.000 0.000 0.000 1.571
-0.872 9.962 -1.569 17.932 4.408 18.454 -0.087 0.000 1.571
-1.736 9.848 -3.126 17.727 2.783 18.768 -0.175 0.000 1.571
-2.588 9.659 -4.659 17.387 1.137 18.940 -0.262 0.000 1.571
-3.420 9.397 -6.156 16.914 -0.518 18.967 -0.349 0.000 1.571
-4.226 9.063 -7.607 16.314 -2.169 18.849 -0.436 0.000 1.571
-5.000 8.660 -9.000 15.588 -3.804 18.588 -0.524 0.000 1.571
-5.736 8.192 -10.324 14.745 -5.409 18.186 -0.611 0.000 1.571
-5.000 8.660 -9.000 15.588 -3.804 18.588 -0.524 0.000 1.571
-4.226 9.063 -7.607 16.314 -2.169 18.849 -0.436 0.000 1.571
-3.420 9.397 -6.156 16.914 -0.518 18.967 -0.349 0.000 1.571
-2.588 9.659 -4.659 17.387 1.137 18.940 -0.262 0.000 1.571
-1.736 9.848 -3.126 17.727 2.783 18.768 -0.175 0.000 1.571
-0.872 9.962 -1.569 17.932 4.408 18.454 -0.087 0.000 1.571
0.000 10.000 0.000 18.000 6.000 18.000 0.000 0.000 1.571
0.872 9.962 1.569 17.932 7.546 17.409 0.087 0.000 1.571
0.872 9.962 0.872 17.962 6.872 17.962 0.087 -0.087 1.571
0.872 9.962 0.174 17.932 6.151 18.454 0.087 -0.175 1.571
0.872 9.962 -0.518 17.840 5.391 18.882 0.087 -0.262 1.571
0.872 9.962 -1.199 17.689 4.597 19.242 0.087 -0.349 1.571
0.872 9.962 -1.865 17.479 3.774 19.532 0.087 -0.436 1.571
0.872 9.962 -2.509 17.212 2.928 19.748 0.087 -0.524 1.571
0.872 9.962 -3.128 16.890 2.068 19.890 0.087 -0.611 1.571
0.872 9.962 -3.717 16.515 1.198 19.957 0.087 -0.698 1.571
0.872 9.962 -4.271 16.090 0.326 19.947 0.087 -0.785 1.571
0.872 9.962 -4.785 15.619 -0.543 19.861 0.087 -0.873 1.571
0.872 9.962 -5.257 15.104 -1.400 19.701 0.087 -0.960 1.571
0.872 9.962 -5.682 14.551 -2.240 19.465 0.087 -1.047 1.571
0.872 9.962 -6.057 13.962 -3.057 19.158 0.087 -1.134 1.571
0.872 9.962 -6.379 13.343 -3.843 18.781 0.087 -1.222 1.571
0.872 9.962 -6.646 12.698 -4.594 18.336 0.087 -1.309 1.571
0.872 9.962 -6.856 12.032 -5.303 17.828 0.087 -1.396 1.571
0.872 9.962 -7.007 11.351 -5.965 17.260 0.087 -1.484 1.571
0.872 9.962 -7.098 10.659 -6.575 16.636 0.087 -1.571 1.571
0.872 9.962 -7.098 10.659 -7.098 16.659 0.087 -1.571 1.484
0.872 9.962 -7.098 10.659 -7.621 16.636 0.087 -1.571 1.396
0.872 9.962 -7.098 10.659 -8.140 16.568 0.087 -1.571 1.309
0.872 9.962 -7.098 10.659 -8.651 16.455 0.087 -1.571 1.222
0.872 9.962 -7.098 10.659 -9.150 16.297 0.087 -1.571 1.134
0.872 9.962 -7.098 10.659 -9.634 16.097 0.087 -1.571 1.047
0.872 9.962 -7.098 10.659 -10.098 15.855 0.087 -1.571 0.960
0.872 9.962 -7.098 10.659 -10.539 15.574 0.087 -1.571 0.873
0.872 9.962 -7.098 10.659 -10.955 15.255 0.087 -1.571 0.785
1.736 9.848 -6.142 11.237 -9.583 16.152 0.175 -1.571 0.785
2.588 9.659 -5.139 11.730 -8.139 16.926 0.262 -1.571 0.785
3.420 9.397 -4.097 12.133 -6.633 17.571 0.349 -1.571 0.785
4.226 9.063 -3.024 12.444 -5.076 18.082 0.436 -1.571 0.785
5.000 8.660 -1.928 12.660 -3.481 18.456 0.524 -1.571 0.785
5.736 8.192 -0.817 12.780 -1.859 18.689 0.611 -1.571 0.785
6.428 7.660 0.300 12.803 -0.223 18.780 0.698 -1.571 0.785
6.428 7.660 -0.125 12.249 -1.167 18.158 0.698 -1.658 0.785
6.428 7.660 -0.500 11.660 -2.053 17.456 0.698 -1.745 0.785
6.428 7.660 -0.823 11.041 -2.875 16.680 0.698 -1.833 0.785
6.428 7.660 -1.090 10.397 -3.625 15.834 0.698 -1.920 0.785
6.428 7.660 -1.300 9.731 -4.300 14.927 0.698 -2.007 0.785
6.428 7.660 -1.300 9.731 -3.835 15.169 0.698 -2.007 0.873
6.428 7.660 -1.300 9.731 -3.352 15.369 0.698 -2.007 0.960
6.428 7.660 -1.300 9.731 -2.852 15.527 0.698 -2.007 1.047
6.428 7.660 -1.300 9.731 -2.341 15.640 0.698 -2.007 1.134
6.428 7.660 -1.300 9.731 -1.822 15.708 0.698 -2.007 1.222
6.428 7.660 -1.451 9.050 -2.492 14.958 0.698 -2.094 1.222
7.071 7.071 -0.656 9.142 -1.179 15.119 0.785 -2.094 1.222
7.660 6.428 0.143 9.164 0.143 15.164 0.873 -2.094 1.222
8.192 5.736 0.941 9.117 1.464 15.094 0.960 -2.094 1.222
