#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.000 10.000 0.697 17.970 1.220 23.947 0.000 0.087 0.000
0.000 10.000 1.389 17.878 2.431 23.787 0.000 0.175 0.000
0.000 10.000 2.071 17.727 3.623 23.523 0.000 0.262 0.000
0.000 10.000 2.736 17.518 4.788 23.156 0.000 0.349 0.000
0.000 10.000 3.381 17.250 5.917 22.688 0.000 0.436 0.000
-0.872 9.962 1.865 17.479 3.917 23.118 -0.087 0.436 0.000
-1.736 9.848 0.334 17.575 1.887 23.371 -0.175 0.436 0.000
-2.588 9.659 -1.199 17.538 -0.157 23.447 -0.262 0.436 0.000
-3.420 9.397 -2.723 17.366 -2.200 23.344 -0.349 0.436 0.000
-2.588 9.659 -1.199 17.538 -0.157 23.447 -0.262 0.436 0.000
-1.736 9.848 0.334 17.575 1.887 23.371 -0.175 0.436 0.000
-0.872 9.962 1.865 17.479 3.917 23.118 -0.087 0.436 0.000
0.000 10.000 3.381 17.250 5.917 22.688 0.000 0.436 0.000
0.000 10.000 3.381 17.250 5.433 22.889 0.000 0.436 -0.087
0.000 10.000 3.381 17.250 4.934 23.046 0.000 0.436 -0.175
0.000 10.000 3.381 17.250 4.423 23.159 0.000 0.436 -0.262
0.000 10.000 3.381 17.250 3.904 23.228 0.000 0.436 -0.349
0.000 10.000 3.381 17.250 3.381 23.250 0.000 0.436 -0.436
0.000 10.000 3.381 17.250 2.858 23.228 0.000 0.436 -0.524
-0.872 9.962 1.865 17.479 0.823 23.388 -0.087 0.436 -0.524
-1.736 9.848 0.334 17.575 -1.219 23.371 -0.175 0.436 -0.524
-2.588 9.659 -1.199 17.538 -3.251 23.176 -0.262 0.436 -0.524
-3.420 9.397 -2.723 17.366 -5.259 22.804 -0.349 0.436 -0.524
-4.226 9.063 -4.226 17.063 -7.226 22.259 -0.436 0.436 -0.524
-5.000 8.660 -5.697 16.630 -9.139 21.545 -0.524 0.436 -0.524
-5.736 8.192 -7.125 16.070 -10.982 20.666 -0.611 0.436 -0.524
-5.000 8.660 -5.697 16.630 -9.139 21.545 -0.524 0.436 -0.524
-4.226 9.063 -4.226 17.063 -7.226 22.259 -0.436 0.436 -0.524
-3.420 9.397 -2.723 17.366 -5.259 22.804 -0.349 0.436 -0.524
-2.588 9.659 -1.199 17.538 -3.251 23.176 -0.262 0.436 -0.524
-1.736 9.848 0.334 17.575 -1.219 23.371 -0.175 0.436 -0.524
-0.872 9.962 1.865 17.479 0.823 23.388 -0.087 0.436 -0.524
0.000 10.000 3.381 17.250 2.858 23.228 0.000 0.436 -0.524
-0.872 9.962 1.865 17.479 0.823 23.388 -0.087 0.436 -0.524
-1.736 9.848 0.334 17.575 -1.219 23.371 -0.175 0.436 -0.524
-2.588 9.659 -1.199 17.538 -3.251 23.176 -0.262 0.436 -0.524
-3.420 9.397 -2.723 17.366 -5.259 22.804 -0.349 0.436 -0.524
-3.420 9.397 -2.031 17.275 -4.083 22.914 -0.349 0.524 -0.524
-3.420 9.397 -1.350 17.124 -2.903 22.920 -0.349 0.611 -0.524
-3.420 9.397 -0.684 16.914 -1.726 22.823 -0.349 0.698 -0.524
-3.420 9.397 -0.039 16.647 -0.562 22.625 -0.349 0.785 -0.524
-3.420 9.397 0.580 16.325 0.580 22.325 -0.349 0.873 -0.524
-3.420 9.397 0.580 16.325 1.103 22.302 -0.349 0.873 -0.436
-3.420 9.397 0.580 16.325 1.622 22.234 -0.349 0.873 -0.349
-3.420 9.397 0.580 16.325 2.133 22.121 -0.349 0.873 -0.262
-3.420 9.397 0.580 16.325 2.632 21.963 -0.349 0.873 -0.175
-3.420 9.397 -0.039 16.647 1.514 22.443 -0.349 0.785 -0.175
-3.420 9.397 -0.684 16.914 0.358 22.823 -0.349 0.698 -0.175
-3.420 9.397 -1.350 17.124 -0.827 23.102 -0.349 0.611 -0.175
-3.420 9.397 -2.031 17.275 -2.031 23.275 -0.349 0.524 -0.175
-3.420 9.397 -1.350 17.124 -0.827 23.102 -0.349 0.611 -0.175
-3.420 9.397 -0.684 16.914 0.358 22.823 -0.349 0.698 -0.175
-3.420 9.397 -0.039 16.647 1.514 22.443 -0.349 0.785 -0.175
-3.420 9.397 0.580 16.325 2.632 21.963 -0.349 0.873 -0.175
-3.420 9.397 1.168 15.950 3.704 21.388 -0.349 0.960 -0.175
-3.420 9.397 1.722 15.525 4.722 20.721 -0.349 1.047 -0.175
-3.420 9.397 2.237 15.054 5.678 19.969 -0.349 1.134 -0.175
-3.420 9.397 1.722 15.525 4.722 20.721 -0.349 1.047 -0.175
-3.420 9.397 1.168 15.950 3.704 21.388 -0.349 0.960 -0.175
-3.420 9.397 0.580 16.325 2.632 21.963 -0.349 0.873 -0.175
-3.420 9.397 -0.039 16.647 1.514 22.443 -0.349 0.785 -0.175
-3.420 9.397 -0.684 16.914 0.358 22.823 -0.349 0.698 -0.175
-3.420 9.397 -1.350 17.124 -0.827 23.102 -0.349 0.611 -0.175
-3.420 9.397 -2.031 17.275 -2.031 23.275 -0.349 0.524 -0.175
-3.420 9.397 -2.723 17.366 -3.246 23.344 -0.349 0.436 -0.175
-3.420 9.397 -3.420 17.397 -4.462 23.306 -0.349 0.349 -0.175
-3.420 9.397 -4.117 17.366 -5.670 23.162 -0.349 0.262 -0.175
-3.420 9.397 -4.809 17.275 -6.862 22.914 -0.349 0.175 -0.175
-3.420 9.397 -5.491 17.124 -8.026 22.562 -0.349 0.087 -0.175
