#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.000 10.000 0.000 18.000 -0.523 23.977 0.000 0.000 -0.087
0.000 10.000 0.000 18.000 -1.042 23.909 0.000 0.000 -0.175
0.000 10.000 0.000 18.000 -1.553 23.796 0.000 0.000 -0.262
0.000 10.000 0.000 18.000 -2.052 23.638 0.000 0.000 -0.349
0.000 10.000 0.000 18.000 -2.536 23.438 0.000 0.000 -0.436
0.000 10.000 0.000 18.000 -3.000 23.196 0.000 0.000 -0.524
0.000 10.000 0.000 18.000 -3.441 22.915 0.000 0.000 -0.611
0.000 10.000 0.000 18.000 -3.857 22.596 0.000 0.000 -0.698
0.000 10.000 0.000 18.000 -4.243 22.243 0.000 0.000 -0.785
0.000 10.000 0.000 18.000 -4.596 21.857 0.000 0.000 -0.873
0.000 10.000 0.000 18.000 -4.915 21.441 0.000 0.000 -0.960
0.000 10.000 0.000 18.000 -5.196 21.000 0.000 0.000 -1.047
0.000 10.000 0.000 18.000 -5.438 20.536 0.000 0.000 -1.134
0.000 10.000 0.000 18.000 -5.638 20.052 0.000 0.000 -1.222
0.000 10.000 0.000 18.000 -5.796 19.553 0.000 0.000 -1.309
0.000 10.000 0.000 18.000 -5.909 19.042 0.000 0.000 -1.396
0.000 10.000 0.000 18.000 -5.977 18.523 0.000 0.000 -1.484
0.000 10.000 0.000 18.000 -6.000 18.000 0.000 0.000 -1.571
0.000 10.000 -0.697 17.970 -6.674 17.447 0.000 -0.087 -1.571
0.000 10.000 -1.389 17.878 -7.298 16.837 0.000 -0.175 -1.571
0.000 10.000 -2.071 17.727 -7.866 16.174 0.000 -0.262 -1.571
0.000 10.000 -2.736 17.518 -8.374 15.465 0.000 -0.349 -1.571
0.000 10.000 -3.381 17.250 -8.819 14.715 0.000 -0.436 -1.571
0.000 10.000 -4.000 16.928 -9.196 13.928 0.000 -0.524 -1.571
0.000 10.000 -4.589 16.553 -9.504 13.112 0.000 -0.611 -1.571
0.000 10.000 -5.142 16.128 -9.739 12.272 0.000 -0.698 -1.571
0.000 10.000 -5.657 15.657 -9.899 11.414 0.000 -0.785 -1.571
0.000 10.000 -5.142 16.128 -9.739 12.272 0.000 -0.698 -1.571
0.000 10.000 -4.589 16.553 -9.504 13.112 0.000 -0.611 -1.571
0.000 10.000 -4.000 16.928 -9.196 13.928 0.000 -0.524 -1.571
0.000 10.000 -3.381 17.250 -8.819 14.715 0.000 -0.436 -1.571
0.000 10.000 -2.736 17.518 -8.374 15.465 0.000 -0.349 -1.571
0.000 10.000 -2.071 17.727 -7.866 16.174 0.000 -0.262 -1.571
0.000 10.000 -2.736 17.518 -8.374 15.465 0.000 -0.349 -1.571
0.000 10.000 -3.381 17.250 -8.819 14.715 0.000 -0.436 -1.571
0.000 10.000 -4.000 16.928 -9.196 13.928 0.000 -0.524 -1.571
0.000 10.000 -4.589 16.553 -9.504 13.112 0.000 -0.611 -1.571
0.000 10.000 -5.142 16.128 -9.739 12.272 0.000 -0.698 -1.571
0.000 10.000 -5.657 15.657 -9.899 11.414 0.000 -0.785 -1.571
0.000 10.000 -6.128 15.142 -9.985 10.546 0.000 -0.873 -1.571
0.000 10.000 -6.553 14.589 -9.995 9.674 0.000 -0.960 -1.571
0.872 9.962 -5.257 15.104 -9.114 10.508 0.087 -0.960 -1.571
1.736 9.848 -3.920 15.505 -8.163 11.262 0.175 -0.960 -1.571
2.588 9.659 -2.554 15.788 -7.150 11.931 0.262 -0.960 -1.571
3.420 9.397 -1.168 15.950 -6.083 12.509 0.349 -0.960 -1.571
2.588 9.659 -2.554 15.788 -7.150 11.931 0.262 -0.960 -1.571
1.736 9.848 -3.920 15.505 -8.163 11.262 0.175 -0.960 -1.571
0.872 9.962 -5.257 15.104 -9.114 10.508 0.087 -0.960 -1.571
-0.000 10.000 -6.553 14.589 -9.995 9.674 -0.000 -0.960 -1.571
-0.872 9.962 -7.800 13.962 -10.800 8.766 -0.087 -0.960 -1.571
-1.736 9.848 -8.987 13.229 -11.523 7.791 -0.175 -0.960 -1.571
-2.588 9.659 -10.106 12.395 -12.158 6.757 -0.262 -0.960 -1.571
-3.420 9.397 -11.148 11.467 -12.701 5.672 -0.349 -0.960 -1.571
-4.226 9.063 -12.105 10.452 -13.147 4.543 -0.436 -0.960 -1.571
-5.000 8.660 -12.970 9.357 -13.492 3.380 -0.524 -0.960 -1.571
-5.736 8.192 -13.736 8.192 -13.736 2.192 -0.611 -0.960 -1.571
-6.428 7.660 -14.397 6.963 -13.874 0.986 -0.698 -0.960 -1.571
-6.428 7.660 -14.428 7.660 -14.428 1.660 -0.698 -0.873 -1.571
-6.428 7.660 -14.397 8.358 -14.920 2.381 -0.698 -0.785 -1.571
-6.428 7.660 -14.306 9.050 -15.348 3.141 -0.698 -0.698 -1.571
-6.428 7.660 -14.155 9.731 -15.708 3.935 -0.698 -0.611 -1.571
-5.736 8.192 -13.253 10.928 -15.305 5.290 -0.611 -0.611 -1.571
-5.000 8.660 -12.250 12.041 -14.786 6.603 -0.524 -0.611 -1.571
-4.226 9.063 -11.154 13.063 -14.154 7.867 -0.436 -0.611 -1.571
-3.420 9.397 -9.973 13.986 -13.415 9.071 -0.349 -0.611 -1.571
-2.588 9.659 -8.717 14.802 -12.573 10.205 -0.262 -0.611 -1.571
-2.588 9.659 -8.245 15.316 -12.488 11.073 -0.262 -0.524 -1.571
-2.588 9.659 -7.730 15.788 -12.327 11.931 -0.262 -0.436 -1.571
-2.588 9.659 -7.177 16.212 -12.092 12.771 -0.262 -0.349 -1.571
-2.588 9.659 -6.588 16.587 -11.784 13.587 -0.262 -0.262 -1.571
-2.588 9.659 -5.969 16.910 -11.407 14.374 -0.262 -0.175 -1.571
-2.588 9.659 -5.324 17.177 -10.963 15.125 -0.262 -0.087 -1.571
-2.588 9.659 -4.659 17.387 -10.454 15.834 -0.262 0.000 -1.571
-2.588 9.659 -3.977 17.538 -9.886 16.496 -0.262 0.087 -1.571
-2.588 9.659 -3.285 17.629 -9.263 17.106 -0.262 0.175 -1.571
-3.420 9.397 -4.809 17.275 -10.718 16.233 -0.349 0.175 -1.571
-4.226 9.063 -6.297 16.790 -12.092 15.238 -0.436 0.175 -1.571
-5.000 8.660 -7.736 16.178 -13.374 14.126 -0.524 0.175 -1.571
