#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.000 10.000 0.000 18.000 0.523 23.977 0.000 0.000 0.087
0.000 10.000 0.000 18.000 1.042 23.909 0.000 0.000 0.175
0.000 10.000 0.000 18.000 1.553 23.796 0.000 0.000 0.262
0.000 10.000 0.000 18.000 2.052 23.638 0.000 0.000 0.349
0.000 10.000 0.000 18.000 1.553 23.796 0.000 0.000 0.262
0.000 10.000 0.000 18.000 1.042 23.909 0.000 0.000 0.175
0.000 10.000 0.000 18.000 0.523 23.977 0.000 0.000 0.087
0.000 10.000 0.000 18.000 -0.000 24.000 0.000 0.000 -0.000
0.000 10.000 0.000 18.000 0.523 23.977 0.000 0.000 0.087
0.000 10.000 0.000 18.000 1.042 23.909 0.000 0.000 0.175
0.000 10.000 0.000 18.000 1.553 23.796 0.000 0.000 0.262
0.000 10.000 0.000 18.000 2.052 23.638 0.000 0.000 0.349
0.000 10.000 0.000 18.000 2.536 23.438 0.000 0.000 0.436
0.000 10.000 0.000 18.000 3.000 23.196 0.000 0.000 0.524
0.000 10.000 0.000 18.000 3.441 22.915 0.000 0.000 0.611
0.000 10.000 0.697 17.970 4.554 22.566 0.000 0.087 0.611
0.000 10.000 1.389 17.878 5.632 22.121 0.000 0.175 0.611
0.000 10.000 2.071 17.727 6.667 21.584 0.000 0.262 0.611
0.000 10.000 2.736 17.518 7.651 20.959 0.000 0.349 0.611
0.000 10.000 2.736 17.518 7.332 21.374 0.000 0.349 0.524
0.000 10.000 2.736 17.518 6.979 21.760 0.000 0.349 0.436
0.000 10.000 2.736 17.518 6.593 22.114 0.000 0.349 0.349
0.000 10.000 2.736 17.518 6.178 22.432 0.000 0.349 0.262
0.000 10.000 2.736 17.518 5.736 22.714 0.000 0.349 0.175
0.000 10.000 2.736 17.518 5.272 22.955 0.000 0.349 0.087
0.000 10.000 2.736 17.518 4.788 23.156 0.000 0.349 -0.000
0.000 10.000 2.736 17.518 4.289 23.313 0.000 0.349 -0.087
0.000 10.000 2.736 17.518 3.778 23.426 0.000 0.349 -0.175
0.000 10.000 2.736 17.518 3.259 23.495 0.000 0.349 -0.262
0.000 10.000 2.736 17.518 2.736 23.518 0.000 0.349 -0.349
0.000 10.000 2.736 17.518 2.213 23.495 0.000 0.349 -0.436
0.000 10.000 2.736 17.518 2.736 23.518 0.000 0.349 -0.349
0.000 10.000 2.736 17.518 3.259 23.495 0.000 0.349 -0.262
0.000 10.000 2.736 17.518 3.778 23.426 0.000 0.349 -0.175
0.000 10.000 2.736 17.518 4.289 23.313 0.000 0.349 -0.087
0.000 10.000 2.736 17.518 4.788 23.156 0.000 0.349 -0.000
0.000 10.000 2.736 17.518 5.272 22.955 0.000 0.349 0.087
0.000 10.000 2.736 17.518 5.736 22.714 0.000 0.349 0.175
0.000 10.000 2.736 17.518 6.178 22.432 0.000 0.349 0.262
0.000 10.000 2.736 17.518 6.593 22.114 0.000 0.349 0.349
0.000 10.000 2.736 17.518 6.979 21.760 0.000 0.349 0.436
0.000 10.000 2.736 17.518 7.332 21.374 0.000 0.349 0.524
0.000 10.000 2.736 17.518 7.651 20.959 0.000 0.349 0.611
0.000 10.000 2.736 17.518 7.932 20.518 0.000 0.349 0.698
0.000 10.000 2.736 17.518 8.174 20.053 0.000 0.349 0.785
0.000 10.000 2.736 17.518 8.374 19.570 0.000 0.349 0.873
0.000 10.000 2.736 17.518 8.532 19.070 0.000 0.349 0.960
0.000 10.000 2.736 17.518 8.645 18.559 0.000 0.349 1.047
0.000 10.000 2.736 17.518 8.713 18.040 0.000 0.349 1.134
-0.872 9.962 1.199 17.689 7.108 18.731 -0.087 0.349 1.134
-1.736 9.848 -0.347 17.727 5.448 19.279 -0.175 0.349 1.134
-2.588 9.659 -1.891 17.629 3.747 19.681 -0.262 0.349 1.134
-3.420 9.397 -3.420 17.397 2.018 19.933 -0.349 0.349 1.134
-4.226 9.063 -4.923 17.033 0.273 20.033 -0.436 0.349 1.134
-5.000 8.660 -6.389 16.539 -1.474 19.980 -0.524 0.349 1.134
-5.736 8.192 -7.806 15.919 -3.210 19.776 -0.611 0.349 1.134
-6.428 7.660 -9.164 15.178 -4.921 19.421 -0.698 0.349 1.134
-7.071 7.071 -10.452 14.322 -6.595 18.918 -0.785 0.349 1.134
-7.660 6.428 -11.660 13.356 -8.219 18.271 -0.873 0.349 1.134
-8.192 5.736 -12.780 12.289 -9.780 17.485 -0.960 0.349 1.134
-8.660 5.000 -13.803 11.128 -11.267 16.566 -1.047 0.349 1.134
-9.063 4.226 -14.720 9.883 -12.668 15.521 -1.134 0.349 1.134
-9.397 3.420 -15.525 8.563 -13.972 14.358 -1.222 0.349 1.134
-9.397 3.420 -15.950 8.009 -14.908 13.918 -1.222 0.262 1.134
-9.063 4.226 -15.191 9.368 -13.639 15.164 -1.134 0.262 1.134
-8.660 5.000 -14.317 10.657 -12.265 16.295 -1.047 0.262 1.134
-8.192 5.736 -13.334 11.864 -10.798 17.302 -0.960 0.262 1.134
-7.660 6.428 -12.249 12.981 -9.249 18.177 -0.873 0.262 1.134
-7.071 7.071 -11.071 13.999 -7.630 18.914 -0.785 0.262 1.134
-6.428 7.660 -9.809 14.911 -5.952 19.507 -0.698 0.262 1.134
-5.736 8.192 -8.472 15.709 -4.229 19.952 -0.611 0.262 1.134
-5.000 8.660 -7.071 16.388 -2.474 20.244 -0.524 0.262 1.134
-4.226 9.063 -5.615 16.942 -0.700 20.383 -0.436 0.262 1.134
-3.420 9.397 -4.117 17.366 1.079 20.366 -0.349 0.262 1.134
-2.588 9.659 -2.588 17.659 2.850 20.195 -0.262 0.262 1.134
-1.736 9.848 -1.039 17.818 4.599 19.870 -0.175 0.262 1.134
-0.872 9.962 0.518 17.840 6.313 19.393 -0.087 0.262 1.134
0.000 10.000 2.071 17.727 7.979 18.769 0.000 0.262 1.134
0.000 10.000 1.389 17.878 7.185 19.431 0.000 0.175 1.134
0.000 10.000 0.697 17.970 6.335 20.022 0.000 0.087 1.134
0.000 10.000 0.000 18.000 5.438 20.536 0.000 -0.000 1.134
0.000 10.000 -0.697 17.970 4.499 20.970 0.000 -0.087 1.134
-0.872 9.962 -2.261 17.840 2.654 21.282 -0.087 -0.087 1.134
