#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
-0.872 9.962 -1.569 17.932 -2.092 23.909 -0.087 0.000 0.000
-1.736 9.848 -3.126 17.727 -4.168 23.635 -0.175 0.000 0.000
-2.588 9.659 -4.659 17.387 -6.212 23.182 -0.262 0.000 0.000
-1.736 9.848 -3.126 17.727 -4.168 23.635 -0.175 0.000 0.000
-0.872 9.962 -1.569 17.932 -2.092 23.909 -0.087 0.000 0.000
0.000 10.000 0.000 18.000 0.000 24.000 0.000 0.000 0.000
0.872 9.962 1.569 17.932 2.092 23.909 0.087 0.000 0.000
0.872 9.962 1.569 17.932 2.611 23.840 0.087 0.000 0.087
0.872 9.962 1.569 17.932 3.122 23.727 0.087 0.000 0.175
0.872 9.962 1.569 17.932 3.621 23.570 0.087 0.000 0.262
0.872 9.962 1.569 17.932 4.105 23.369 0.087 0.000 0.349
0.872 9.962 1.569 17.932 4.569 23.128 0.087 0.000 0.436
0.872 9.962 1.569 17.932 5.010 22.846 0.087 0.000 0.524
0.872 9.962 1.569 17.932 5.426 22.528 0.087 0.000 0.611
0.872 9.962 0.872 17.962 4.313 22.877 0.087 -0.087 0.611
0.872 9.962 0.174 17.932 3.174 23.128 0.087 -0.175 0.611
0.872 9.962 -0.518 17.840 2.018 23.278 0.087 -0.262 0.611
0.872 9.962 -1.199 17.689 0.853 23.328 0.087 -0.349 0.611
0.872 9.962 -1.865 17.479 -0.312 23.275 0.087 -0.436 0.611
0.872 9.962 -2.509 17.212 -1.467 23.121 0.087 -0.524 0.611
0.872 9.962 -3.128 16.890 -2.606 22.867 0.087 -0.611 0.611
0.872 9.962 -3.717 16.515 -3.717 22.515 0.087 -0.698 0.611
0.872 9.962 -4.271 16.090 -4.794 22.067 0.087 -0.785 0.611
0.872 9.962 -4.785 15.619 -5.827 21.528 0.087 -0.873 0.611
0.872 9.962 -5.257 15.104 -6.810 20.900 0.087 -0.960 0.611
0.872 9.962 -5.682 14.551 -7.734 20.189 0.087 -1.047 0.611
0.872 9.962 -6.057 13.962 -8.592 19.400 0.087 -1.134 0.611
0.872 9.962 -6.379 13.343 -9.379 18.539 0.087 -1.222 0.611
0.872 9.962 -6.646 12.698 -10.087 17.613 0.087 -1.309 0.611
0.872 9.962 -6.856 12.032 -10.713 16.629 0.087 -1.396 0.611
0.872 9.962 -7.007 11.351 -11.250 15.594 0.087 -1.484 0.611
0.872 9.962 -7.098 10.659 -11.694 14.516 0.087 -1.571 0.611
0.872 9.962 -7.007 11.351 -11.250 15.594 0.087 -1.484 0.611
0.872 9.962 -6.856 12.032 -10.713 16.629 0.087 -1.396 0.611
0.872 9.962 -6.646 12.698 -10.087 17.613 0.087 -1.309 0.611
0.872 9.962 -6.379 13.343 -9.379 18.539 0.087 -1.222 0.611
0.872 9.962 -6.057 13.962 -8.592 19.400 0.087 -1.134 0.611
0.872 9.962 -5.682 14.551 -7.734 20.189 0.087 -1.047 0.611
0.872 9.962 -5.257 15.104 -6.810 20.900 0.087 -0.960 0.611
0.872 9.962 -4.785 15.619 -5.827 21.528 0.087 -0.873 0.611
0.872 9.962 -4.271 16.090 -4.794 22.067 0.087 -0.785 0.611
0.872 9.962 -3.717 16.515 -3.717 22.515 0.087 -0.698 0.611
0.872 9.962 -3.128 16.890 -2.606 22.867 0.087 -0.611 0.611
0.872 9.962 -2.509 17.212 -1.467 23.121 0.087 -0.524 0.611
0.872 9.962 -2.509 17.212 -0.956 23.008 0.087 -0.524 0.698
0.872 9.962 -2.509 17.212 -0.457 22.851 0.087 -0.524 0.785
0.872 9.962 -2.509 17.212 0.026 22.650 0.087 -0.524 0.873
0.872 9.962 -2.509 17.212 0.491 22.409 0.087 -0.524 0.960
0.872 9.962 -2.509 17.212 0.932 22.127 0.087 -0.524 1.047
0.872 9.962 -2.509 17.212 1.347 21.809 0.087 -0.524 1.134
0.872 9.962 -2.509 17.212 1.733 21.455 0.087 -0.524 1.222
0.872 9.962 -2.509 17.212 2.087 21.069 0.087 -0.524 1.309
0.872 9.962 -2.509 17.212 2.406 20.654 0.087 -0.524 1.396
0.872 9.962 -2.509 17.212 2.687 20.212 0.087 -0.524 1.484
0.872 9.962 -2.509 17.212 2.928 19.748 0.087 -0.524 1.571
0.872 9.962 -2.509 17.212 2.687 20.212 0.087 -0.524 1.484
0.872 9.962 -2.509 17.212 2.406 20.654 0.087 -0.524 1.396
0.872 9.962 -2.509 17.212 2.087 21.069 0.087 -0.524 1.309
0.872 9.962 -2.509 17.212 1.733 21.455 0.087 -0.524 1.222
0.872 9.962 -1.865 17.479 2.732 21.336 0.087 -0.436 1.222
0.872 9.962 -1.199 17.689 3.716 21.131 0.087 -0.349 1.222
0.872 9.962 -0.518 17.840 4.679 20.840 0.087 -0.262 1.222
0.872 9.962 0.174 17.932 5.612 20.467 0.087 -0.175 1.222
0.872 9.962 0.872 17.962 6.510 20.014 0.087 -0.087 1.222
0.872 9.962 1.569 17.932 7.364 19.484 0.087 0.000 1.222
0.872 9.962 2.261 17.840 8.170 18.882 0.087 0.087 1.222
0.872 9.962 2.942 17.689 8.919 18.212 0.087 0.175 1.222
0.872 9.962 2.942 17.689 8.942 17.689 0.087 0.175 1.309
0.872 9.962 2.942 17.689 8.919 17.166 0.087 0.175 1.396
0.872 9.962 2.942 17.689 8.851 16.647 0.087 0.175 1.484
0.872 9.962 2.942 17.689 8.738 16.136 0.087 0.175 1.571
0.872 9.962 2.942 17.689 8.851 16.647 0.087 0.175 1.484
0.872 9.962 2.942 17.689 8.919 17.166 0.087 0.175 1.396
0.872 9.962 2.942 17.689 8.942 17.689 0.087 0.175 1.309
0.872 9.962 2.942 17.689 8.919 18.212 0.087 0.175 1.222
0.872 9.962 2.942 17.689 8.851 18.731 0.087 0.175 1.134
0.872 9.962 2.942 17.689 8.738 19.242 0.087 0.175 1.047
0.872 9.962 2.942 17.689 8.580 19.741 0.087 0.175 0.960
0.872 9.962 2.942 17.689 8.380 20.225 0.087 0.175 0.873
0.872 9.962 2.942 17.689 8.138 20.689 0.087 0.175 0.785
0.872 9.962 2.942 17.689 7.857 21.131 0.087 0.175 0.698
0.872 9.962 2.942 17.689 7.538 21.546 0.087 0.175 0.611
0.872 9.962 2.942 17.689 7.185 21.932 0.087 0.175 0.524
0.872 9.962 2.942 17.689 6.799 22.286 0.087 0.175 0.436
0.872 9.962 2.942 17.689 6.384 22.604 0.087 0.175 0.349
0.000 10.000 1.389 17.878 4.389 23.075 0.000 0.175 0.349
-0.872 9.962 -0.174 17.932 2.361 23.369 -0.087 0.175 0.349
-1.736 9.848 -1.736 17.848 0.316 23.486 -0.175 0.175 0.349
-2.588 9.659 -3.285 17.629 -1.733 23.424 -0.262 0.175 0.349
-3.420 9.397 -4.809 17.275 -3.767 23.184 -0.349 0.175 0.349
-4.226 9.063 -6.297 16.790 -5.774 22.768 -0.436 0.175 0.349
-5.000 8.660 -7.736 16.178 -7.736 22.178 -0.524 0.175 0.349
-5.000 8.660 -7.736 16.178 -7.213 22.155 -0.524 0.175 0.436
-5.000 8.660 -7.736 16.178 -6.694 22.087 -0.524 0.175 0.524
-5.000 8.660 -7.736 16.178 -6.183 21.973 -0.524 0.175 0.611
-5.000 8.660 -8.381 15.911 -7.339 21.820 -0.524 0.087 0.611
