#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.000 10.000 0.697 17.970 1.220 23.947 0.000 0.087 0.000
0.000 10.000 1.389 17.878 2.431 23.787 0.000 0.175 0.000
0.000 10.000 2.071 17.727 3.623 23.523 0.000 0.262 0.000
0.000 10.000 2.736 17.518 4.788 23.156 0.000 0.349 0.000
0.000 10.000 3.381 17.250 5.917 22.688 0.000 0.436 0.000
0.000 10.000 3.381 17.250 5.433 22.889 0.000 0.436 -0.087
0.000 10.000 3.381 17.250 4.934 23.046 0.000 0.436 -0.175
0.000 10.000 3.381 17.250 4.423 23.159 0.000 0.436 -0.262
0.000 10.000 3.381 17.250 3.904 23.228 0.000 0.436 -0.349
0.000 10.000 3.381 17.250 3.381 23.250 0.000 0.436 -0.436
0.000 10.000 3.381 17.250 2.858 23.228 0.000 0.436 -0.524
0.000 10.000 3.381 17.250 2.339 23.159 0.000 0.436 -0.611
0.000 10.000 3.381 17.250 1.828 23.046 0.000 0.436 -0.698
0.000 10.000 3.381 17.250 1.329 22.889 0.000 0.436 -0.785
0.000 10.000 3.381 17.250 1.828 23.046 0.000 0.436 -0.698
0.000 10.000 3.381 17.250 2.339 23.159 0.000 0.436 -0.611
0.000 10.000 3.381 17.250 2.858 23.228 0.000 0.436 -0.524
0.000 10.000 2.736 17.518 1.694 23.426 0.000 0.349 -0.524
0.000 10.000 2.071 17.727 0.518 23.523 0.000 0.262 -0.524
0.000 10.000 1.389 17.878 -0.663 23.517 0.000 0.175 -0.524
0.000 10.000 0.697 17.970 -1.838 23.407 0.000 0.087 -0.524
0.000 10.000 -0.000 18.000 -3.000 23.196 0.000 -0.000 -0.524
0.000 10.000 -0.697 17.970 -4.139 22.884 0.000 -0.087 -0.524
0.000 10.000 -0.000 18.000 -3.000 23.196 0.000 -0.000 -0.524
0.000 10.000 0.697 17.970 -1.838 23.407 0.000 0.087 -0.524
0.000 10.000 1.389 17.878 -0.663 23.517 0.000 0.175 -0.524
0.000 10.000 2.071 17.727 0.518 23.523 0.000 0.262 -0.524
-0.872 9.962 0.518 17.840 -1.534 23.479 -0.087 0.262 -0.524
-1.736 9.848 -1.039 17.818 -3.575 23.255 -0.175 0.262 -0.524
-2.588 9.659 -2.588 17.659 -5.588 22.855 -0.262 0.262 -0.524
-3.420 9.397 -4.117 17.366 -7.559 22.281 -0.349 0.262 -0.524
-4.226 9.063 -5.615 16.942 -9.472 21.538 -0.436 0.262 -0.524
-5.000 8.660 -7.071 16.388 -11.313 20.630 -0.524 0.262 -0.524
-5.000 8.660 -7.071 16.388 -10.927 20.984 -0.524 0.262 -0.436
-5.000 8.660 -7.071 16.388 -10.512 21.303 -0.524 0.262 -0.349
-5.000 8.660 -7.071 16.388 -10.071 21.584 -0.524 0.262 -0.262
-5.000 8.660 -7.071 16.388 -9.606 21.826 -0.524 0.262 -0.175
-5.000 8.660 -7.071 16.388 -9.123 22.026 -0.524 0.262 -0.087
-5.000 8.660 -7.071 16.388 -8.623 22.183 -0.524 0.262 0.000
-4.226 9.063 -5.615 16.942 -6.657 22.850 -0.436 0.262 0.000
-3.420 9.397 -4.117 17.366 -4.640 23.344 -0.349 0.262 0.000
-2.588 9.659 -2.588 17.659 -2.588 23.659 -0.262 0.262 0.000
-1.736 9.848 -1.039 17.818 -0.516 23.795 -0.175 0.262 0.000
-0.872 9.962 0.518 17.840 1.560 23.749 -0.087 0.262 0.000
0.000 10.000 2.071 17.727 3.623 23.523 0.000 0.262 0.000
