#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.000 10.000 0.697 17.970 1.220 23.947 0.000 0.087 0.000
0.000 10.000 1.389 17.878 2.431 23.787 0.000 0.175 0.000
0.000 10.000 2.071 17.727 3.623 23.523 0.000 0.262 0.000
0.000 10.000 2.736 17.518 4.788 23.156 0.000 0.349 0.000
0.000 10.000 3.381 17.250 5.917 22.688 0.000 0.436 0.000
0.000 10.000 3.381 17.250 6.381 22.447 0.000 0.436 0.087
0.000 10.000 3.381 17.250 6.822 22.165 0.000 0.436 0.175
0.000 10.000 3.381 17.250 7.238 21.847 0.000 0.436 0.262
0.000 10.000 3.381 17.250 7.624 21.493 0.000 0.436 0.349
0.000 10.000 3.381 17.250 7.977 21.107 0.000 0.436 0.436
0.000 10.000 3.381 17.250 8.296 20.692 0.000 0.436 0.524
0.000 10.000 3.381 17.250 8.577 20.250 0.000 0.436 0.611
0.000 10.000 3.381 17.250 8.819 19.786 0.000 0.436 0.698
0.000 10.000 3.381 17.250 9.019 19.303 0.000 0.436 0.785
0.000 10.000 2.736 17.518 8.174 20.053 0.000 0.349 0.785
0.000 10.000 2.071 17.727 7.267 20.727 0.000 0.262 0.785
0.000 10.000 1.389 17.878 6.304 21.320 0.000 0.175 0.785
0.000 10.000 1.389 17.878 6.585 20.878 0.000 0.175 0.873
0.000 10.000 1.389 17.878 6.827 20.414 0.000 0.175 0.960
0.000 10.000 1.389 17.878 7.027 19.931 0.000 0.175 1.047
0.000 10.000 1.389 17.878 7.185 19.431 0.000 0.175 1.134
0.000 10.000 1.389 17.878 7.298 18.920 0.000 0.175 1.222
0.000 10.000 1.389 17.878 7.366 18.401 0.000 0.175 1.309
0.000 10.000 1.389 17.878 7.389 17.878 0.000 0.175 1.396
0.000 10.000 1.389 17.878 7.366 17.356 0.000 0.175 1.484
0.000 10.000 1.389 17.878 7.298 16.837 0.000 0.175 1.571
0.000 10.000 0.697 17.970 6.674 17.447 0.000 0.087 1.571
0.000 10.000 -0.000 18.000 6.000 18.000 0.000 -0.000 1.571
0.000 10.000 -0.697 17.970 5.280 18.492 0.000 -0.087 1.571
0.000 10.000 -1.389 17.878 4.520 18.920 0.000 -0.175 1.571
0.000 10.000 -2.071 17.727 3.725 19.280 0.000 -0.262 1.571
0.000 10.000 -2.736 17.518 2.902 19.570 0.000 -0.349 1.571
0.000 10.000 -3.381 17.250 2.057 19.786 0.000 -0.436 1.571
0.000 10.000 -4.000 16.928 1.196 19.928 0.000 -0.524 1.571
0.000 10.000 -4.589 16.553 0.326 19.995 0.000 -0.611 1.571
0.000 10.000 -5.142 16.128 -0.546 19.985 0.000 -0.698 1.571
0.000 10.000 -5.657 15.657 -1.414 19.899 0.000 -0.785 1.571
0.000 10.000 -6.128 15.142 -2.272 19.739 0.000 -0.873 1.571
0.000 10.000 -5.657 15.657 -1.414 19.899 0.000 -0.785 1.571
0.000 10.000 -5.142 16.128 -0.546 19.985 0.000 -0.698 1.571
0.000 10.000 -4.589 16.553 0.326 19.995 0.000 -0.611 1.571
0.000 10.000 -4.000 16.928 1.196 19.928 0.000 -0.524 1.571
0.000 10.000 -3.381 17.250 2.057 19.786 0.000 -0.436 1.571
0.000 10.000 -4.000 16.928 1.196 19.928 0.000 -0.524 1.571
0.000 10.000 -4.589 16.553 0.326 19.995 0.000 -0.611 1.571
0.000 10.000 -5.142 16.128 -0.546 19.985 0.000 -0.698 1.571
0.000 10.000 -5.657 15.657 -1.414 19.899 0.000 -0.785 1.571
0.000 10.000 -6.128 15.142 -2.272 19.739 0.000 -0.873 1.571
0.000 10.000 -6.553 14.589 -3.112 19.504 0.000 -0.960 1.571
