#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.000 10.000 0.697 17.970 1.220 23.947 0.000 0.087 0.000
0.000 10.000 1.389 17.878 2.431 23.787 0.000 0.175 0.000
0.000 10.000 2.071 17.727 3.623 23.523 0.000 0.262 0.000
0.000 10.000 2.736 17.518 4.788 23.156 0.000 0.349 0.000
0.000 10.000 2.736 17.518 5.272 22.955 0.000 0.349 0.087
0.000 10.000 2.736 17.518 5.736 22.714 0.000 0.349 0.175
0.000 10.000 2.736 17.518 6.178 22.432 0.000 0.349 0.262
0.000 10.000 2.736 17.518 6.593 22.114 0.000 0.349 0.349
0.000 10.000 2.736 17.518 6.979 21.760 0.000 0.349 0.436
0.000 10.000 3.381 17.250 7.977 21.107 0.000 0.436 0.436
0.000 10.000 3.381 17.250 7.624 21.493 0.000 0.436 0.349
0.000 10.000 3.381 17.250 7.238 21.847 0.000 0.436 0.262
0.000 10.000 3.381 17.250 6.822 22.165 0.000 0.436 0.175
0.000 10.000 3.381 17.250 6.381 22.447 0.000 0.436 0.087
0.000 10.000 3.381 17.250 5.917 22.688 0.000 0.436 -0.000
0.000 10.000 3.381 17.250 5.433 22.889 0.000 0.436 -0.087
0.000 10.000 3.381 17.250 4.934 23.046 0.000 0.436 -0.175
0.000 10.000 3.381 17.250 4.423 23.159 0.000 0.436 -0.262
0.000 10.000 3.381 17.250 3.904 23.228 0.000 0.436 -0.349
-0.872 9.962 1.865 17.479 1.865 23.479 -0.087 0.436 -0.349
-1.736 9.848 0.334 17.575 -0.189 23.553 -0.175 0.436 -0.349
-2.588 9.659 -1.199 17.538 -2.241 23.447 -0.262 0.436 -0.349
-3.420 9.397 -2.723 17.366 -4.276 23.162 -0.349 0.436 -0.349
-4.226 9.063 -4.226 17.063 -6.278 22.701 -0.436 0.436 -0.349
-5.000 8.660 -5.697 16.630 -8.233 22.068 -0.524 0.436 -0.349
-5.736 8.192 -7.125 16.070 -10.125 21.266 -0.611 0.436 -0.349
-6.428 7.660 -8.498 15.388 -11.940 20.303 -0.698 0.436 -0.349
-7.071 7.071 -9.807 14.589 -13.664 19.185 -0.785 0.436 -0.349
-7.660 6.428 -11.041 13.678 -15.284 17.921 -0.873 0.436 -0.349
-8.192 5.736 -12.192 12.664 -16.788 16.521 -0.960 0.436 -0.349
-8.660 5.000 -13.249 11.553 -18.164 14.995 -1.047 0.436 -0.349
-9.063 4.226 -14.205 10.355 -19.402 13.355 -1.134 0.436 -0.349
-9.063 4.226 -14.205 10.355 -19.643 12.890 -1.134 0.436 -0.436
-9.063 4.226 -14.205 10.355 -19.844 12.407 -1.134 0.436 -0.524
-9.063 4.226 -14.205 10.355 -20.001 11.907 -1.134 0.436 -0.611
-9.063 4.226 -14.205 10.355 -20.114 11.396 -1.134 0.436 -0.698
-9.063 4.226 -14.205 10.355 -20.183 10.877 -1.134 0.436 -0.785
-9.063 4.226 -13.652 10.779 -19.561 11.821 -1.134 0.524 -0.785
-9.063 4.226 -13.063 11.154 -18.859 12.707 -1.134 0.611 -0.785
-9.063 4.226 -12.444 11.477 -18.082 13.529 -1.134 0.698 -0.785
-9.063 4.226 -11.799 11.744 -17.237 14.279 -1.134 0.785 -0.785
-9.063 4.226 -11.134 11.954 -16.330 14.954 -1.134 0.873 -0.785
-9.063 4.226 -10.452 12.105 -15.367 15.546 -1.134 0.960 -0.785
-9.063 4.226 -9.760 12.196 -14.357 16.052 -1.134 1.047 -0.785
-9.063 4.226 -9.063 12.226 -13.306 16.469 -1.134 1.134 -0.785
-9.063 4.226 -8.366 12.196 -12.223 16.792 -1.134 1.222 -0.785
-9.063 4.226 -7.674 12.105 -11.115 17.020 -1.134 1.309 -0.785
-9.063 4.226 -6.993 11.954 -9.993 17.150 -1.134 1.396 -0.785
-9.063 4.226 -6.327 11.744 -8.863 17.182 -1.134 1.484 -0.785
-9.063 4.226 -6.327 11.744 -9.327 16.940 -1.134 1.484 -0.873
-9.063 4.226 -6.327 11.744 -9.768 16.659 -1.134 1.484 -0.960
-9.063 4.226 -6.327 11.744 -10.184 16.340 -1.134 1.484 -1.047
-9.063 4.226 -6.327 11.744 -10.570 15.986 -1.134 1.484 -1.134
-9.063 4.226 -6.327 11.744 -10.923 15.600 -1.134 1.484 -1.222
-9.063 4.226 -6.327 11.744 -11.242 15.185 -1.134 1.484 -1.309
-9.063 4.226 -6.327 11.744 -11.523 14.744 -1.134 1.484 -1.396
-9.063 4.226 -6.327 11.744 -11.765 14.279 -1.134 1.484 -1.484
-9.063 4.226 -6.327 11.744 -11.965 13.796 -1.134 1.484 -1.571
-9.397 3.420 -7.326 11.148 -13.122 12.701 -1.222 1.484 -1.571
-9.659 2.588 -8.270 10.467 -14.179 11.509 -1.309 1.484 -1.571
-9.848 1.736 -9.151 9.706 -15.128 10.229 -1.396 1.484 -1.571
-9.962 0.872 -9.962 8.872 -15.962 8.872 -1.484 1.484 -1.571
