#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.872 9.962 1.569 17.932 2.092 23.909 0.087 0.000 0.000
0.872 9.962 1.569 17.932 1.569 23.932 0.087 0.000 -0.087
0.872 9.962 1.569 17.932 1.046 23.909 0.087 0.000 -0.175
0.872 9.962 1.569 17.932 0.527 23.840 0.087 0.000 -0.262
0.872 9.962 0.872 17.962 -0.681 23.758 0.087 -0.087 -0.262
0.872 9.962 0.174 17.932 -1.878 23.570 0.087 -0.175 -0.262
0.872 9.962 -0.518 17.840 -3.053 23.278 0.087 -0.262 -0.262
0.872 9.962 -1.199 17.689 -4.199 22.886 0.087 -0.349 -0.262
0.872 9.962 -1.865 17.479 -5.306 22.394 0.087 -0.436 -0.262
0.872 9.962 -2.509 17.212 -6.366 21.809 0.087 -0.524 -0.262
0.872 9.962 -3.128 16.890 -7.371 21.133 0.087 -0.611 -0.262
0.872 9.962 -3.717 16.515 -8.313 20.372 0.087 -0.698 -0.262
0.872 9.962 -4.271 16.090 -9.186 19.532 0.087 -0.785 -0.262
0.872 9.962 -4.785 15.619 -9.981 18.619 0.087 -0.873 -0.262
0.872 9.962 -5.257 15.104 -10.695 17.640 0.087 -0.960 -0.262
0.872 9.962 -5.682 14.551 -11.320 16.603 0.087 -1.047 -0.262
0.872 9.962 -5.682 14.551 -11.477 16.103 0.087 -1.047 -0.349
0.872 9.962 -5.682 14.551 -11.591 15.592 0.087 -1.047 -0.436
0.872 9.962 -5.682 14.551 -11.659 15.073 0.087 -1.047 -0.524
0.872 9.962 -5.682 14.551 -11.682 14.551 0.087 -1.047 -0.611
0.872 9.962 -5.682 14.551 -11.659 15.073 0.087 -1.047 -0.524
0.872 9.962 -5.682 14.551 -11.591 15.592 0.087 -1.047 -0.436
0.872 9.962 -5.682 14.551 -11.477 16.103 0.087 -1.047 -0.349
0.872 9.962 -5.682 14.551 -11.320 16.603 0.087 -1.047 -0.262
0.872 9.962 -5.682 14.551 -11.120 17.086 0.087 -1.047 -0.175
0.872 9.962 -5.682 14.551 -10.878 17.551 0.087 -1.047 -0.087
0.872 9.962 -5.682 14.551 -10.597 17.992 0.087 -1.047 0.000
0.872 9.962 -5.682 14.551 -10.278 18.407 0.087 -1.047 0.087
0.872 9.962 -5.682 14.551 -9.924 18.793 0.087 -1.047 0.175
0.872 9.962 -5.682 14.551 -9.538 19.147 0.087 -1.047 0.262
0.872 9.962 -5.682 14.551 -9.123 19.465 0.087 -1.047 0.349
0.872 9.962 -5.682 14.551 -8.682 19.747 0.087 -1.047 0.436
0.872 9.962 -5.682 14.551 -9.123 19.465 0.087 -1.047 0.349
0.872 9.962 -5.682 14.551 -9.538 19.147 0.087 -1.047 0.262
0.872 9.962 -5.682 14.551 -9.924 18.793 0.087 -1.047 0.175
0.000 10.000 -6.928 14.000 -11.524 17.857 0.000 -1.047 0.175
-0.872 9.962 -8.122 13.343 -13.037 16.784 -0.087 -1.047 0.175
-1.736 9.848 -9.254 12.584 -14.450 15.584 -0.175 -1.047 0.175
-2.588 9.659 -10.316 11.730 -15.753 14.266 -0.262 -1.047 0.175
-2.588 9.659 -10.106 12.395 -15.302 15.395 -0.262 -0.960 0.175
-2.588 9.659 -9.839 13.040 -14.754 16.482 -0.262 -0.873 0.175
-2.588 9.659 -9.516 13.659 -14.113 17.516 -0.262 -0.785 0.175
-2.588 9.659 -9.141 14.248 -13.384 18.491 -0.262 -0.698 0.175
-2.588 9.659 -8.717 14.802 -12.573 19.398 -0.262 -0.611 0.175
-2.588 9.659 -8.245 15.316 -11.687 20.231 -0.262 -0.524 0.175
-3.420 9.397 -9.549 14.539 -13.405 19.135 -0.349 -0.524 0.175
-4.226 9.063 -10.779 13.652 -15.022 17.894 -0.436 -0.524 0.175
-5.000 8.660 -11.928 12.660 -16.524 16.517 -0.524 -0.524 0.175
-5.736 8.192 -12.986 11.572 -17.901 15.014 -0.611 -0.524 0.175
-6.428 7.660 -13.945 10.397 -19.142 13.397 -0.698 -0.524 0.175
-6.428 7.660 -13.945 10.397 -18.860 13.838 -0.698 -0.524 0.262
-6.428 7.660 -13.945 10.397 -18.542 14.253 -0.698 -0.524 0.349
-6.428 7.660 -13.945 10.397 -18.188 14.639 -0.698 -0.524 0.436
-6.428 7.660 -13.945 10.397 -17.802 14.993 -0.698 -0.524 0.524
-7.071 7.071 -14.798 9.142 -19.041 13.384 -0.785 -0.524 0.524
-7.071 7.071 -14.798 9.142 -18.655 13.738 -0.785 -0.524 0.611
-7.071 7.071 -14.798 9.142 -18.240 14.057 -0.785 -0.524 0.698
-7.071 7.071 -14.798 9.142 -17.798 14.338 -0.785 -0.524 0.785
-7.071 7.071 -14.798 9.142 -17.334 14.579 -0.785 -0.524 0.873
-7.071 7.071 -14.798 9.142 -17.798 14.338 -0.785 -0.524 0.785
-7.071 7.071 -14.798 9.142 -18.240 14.057 -0.785 -0.524 0.698
-7.071 7.071 -14.798 9.142 -18.655 13.738 -0.785 -0.524 0.611
-7.071 7.071 -14.798 9.142 -19.041 13.384 -0.785 -0.524 0.524
-7.071 7.071 -14.798 9.142 -19.395 12.998 -0.785 -0.524 0.436
