#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.872 9.962 1.569 17.932 2.092 23.909 0.087 0.000 0.000
0.872 9.962 0.872 17.962 0.872 23.962 0.087 -0.087 0.000
0.872 9.962 0.174 17.932 -0.349 23.909 0.087 -0.175 0.000
0.872 9.962 -0.518 17.840 -1.560 23.749 0.087 -0.262 0.000
0.872 9.962 -1.199 17.689 -2.752 23.485 0.087 -0.349 0.000
0.872 9.962 -1.865 17.479 -3.917 23.118 0.087 -0.436 0.000
0.872 9.962 -2.509 17.212 -5.045 22.650 0.087 -0.524 0.000
0.872 9.962 -3.128 16.890 -6.128 22.086 0.087 -0.611 0.000
0.872 9.962 -3.717 16.515 -7.159 21.430 0.087 -0.698 0.000
0.872 9.962 -4.271 16.090 -8.127 20.687 0.087 -0.785 0.000
0.872 9.962 -4.785 15.619 -9.028 19.861 0.087 -0.873 0.000
0.872 9.962 -5.257 15.104 -9.853 18.961 0.087 -0.960 0.000
0.872 9.962 -5.682 14.551 -10.597 17.992 0.087 -1.047 0.000
0.872 9.962 -6.057 13.962 -11.253 16.962 0.087 -1.134 0.000
0.872 9.962 -6.379 13.343 -11.817 15.879 0.087 -1.222 0.000
0.872 9.962 -6.646 12.698 -12.284 14.750 0.087 -1.309 0.000
0.872 9.962 -6.856 12.032 -12.651 13.585 0.087 -1.396 0.000
0.872 9.962 -7.007 11.351 -12.916 12.393 0.087 -1.484 0.000
0.872 9.962 -7.098 10.659 -13.075 11.182 0.087 -1.571 0.000
1.736 9.848 -6.142 11.237 -12.051 12.279 0.175 -1.571 0.000
2.588 9.659 -5.139 11.730 -10.935 13.283 0.262 -1.571 0.000
3.420 9.397 -4.097 12.133 -9.735 14.185 0.349 -1.571 0.000
4.226 9.063 -3.024 12.444 -8.462 14.980 0.436 -1.571 0.000
5.000 8.660 -1.928 12.660 -7.124 15.660 0.524 -1.571 0.000
5.736 8.192 -0.817 12.780 -5.732 16.222 0.611 -1.571 0.000
6.428 7.660 0.300 12.803 -4.297 16.659 0.698 -1.571 0.000
6.428 7.660 0.300 12.803 -4.615 16.244 0.698 -1.571 -0.087
6.428 7.660 0.300 12.803 -4.897 15.803 0.698 -1.571 -0.175
6.428 7.660 0.300 12.803 -5.138 15.338 0.698 -1.571 -0.262
6.428 7.660 0.300 12.803 -5.339 14.855 0.698 -1.571 -0.349
6.428 7.660 0.300 12.803 -5.496 14.356 0.698 -1.571 -0.436
6.428 7.660 0.300 12.803 -5.609 13.845 0.698 -1.571 -0.524
6.428 7.660 0.300 12.803 -5.678 13.326 0.698 -1.571 -0.611
6.428 7.660 0.300 12.803 -5.700 12.803 0.698 -1.571 -0.698
6.428 7.660 0.300 12.803 -5.678 12.280 0.698 -1.571 -0.785
6.428 7.660 0.300 12.803 -5.609 11.761 0.698 -1.571 -0.873
6.428 7.660 0.300 12.803 -5.496 11.250 0.698 -1.571 -0.960
6.428 7.660 0.300 12.803 -5.339 10.751 0.698 -1.571 -1.047
6.428 7.660 0.300 12.803 -5.138 10.267 0.698 -1.571 -1.134
6.428 7.660 0.300 12.803 -4.897 9.803 0.698 -1.571 -1.222
6.428 7.660 0.300 12.803 -4.615 9.361 0.698 -1.571 -1.309
6.428 7.660 0.300 12.803 -4.297 8.946 0.698 -1.571 -1.396
6.428 7.660 0.300 12.803 -3.943 8.560 0.698 -1.571 -1.484
5.736 8.192 -0.817 12.780 -4.674 8.184 0.611 -1.571 -1.484
5.000 8.660 -1.928 12.660 -5.370 7.745 0.524 -1.571 -1.484
4.226 9.063 -3.024 12.444 -6.024 7.248 0.436 -1.571 -1.484
3.420 9.397 -4.097 12.133 -6.633 6.695 0.349 -1.571 -1.484
2.588 9.659 -5.139 11.730 -7.191 6.092 0.262 -1.571 -1.484
1.736 9.848 -6.142 11.237 -7.695 5.442 0.175 -1.571 -1.484
0.872 9.962 -7.098 10.659 -8.140 4.750 0.087 -1.571 -1.484
-0.000 10.000 -8.000 10.000 -8.523 4.023 -0.000 -1.571 -1.484
-0.872 9.962 -8.841 9.265 -8.841 3.265 -0.087 -1.571 -1.484
-0.000 10.000 -8.000 10.000 -8.523 4.023 -0.000 -1.571 -1.484
0.872 9.962 -7.098 10.659 -8.140 4.750 0.087 -1.571 -1.484
1.736 9.848 -6.142 11.237 -7.695 5.442 0.175 -1.571 -1.484
2.588 9.659 -5.139 11.730 -7.191 6.092 0.262 -1.571 -1.484
3.420 9.397 -4.097 12.133 -6.633 6.695 0.349 -1.571 -1.484
4.226 9.063 -3.024 12.444 -6.024 7.248 0.436 -1.571 -1.484
5.000 8.660 -1.928 12.660 -5.370 7.745 0.524 -1.571 -1.484
5.736 8.192 -0.817 12.780 -4.674 8.184 0.611 -1.571 -1.484
6.428 7.660 0.300 12.803 -3.943 8.560 0.698 -1.571 -1.484
5.736 8.192 -0.817 12.780 -4.674 8.184 0.611 -1.571 -1.484
5.000 8.660 -1.928 12.660 -5.370 7.745 0.524 -1.571 -1.484
4.226 9.063 -3.024 12.444 -6.024 7.248 0.436 -1.571 -1.484
3.420 9.397 -4.097 12.133 -6.633 6.695 0.349 -1.571 -1.484
2.588 9.659 -5.139 11.730 -7.191 6.092 0.262 -1.571 -1.484
1.736 9.848 -6.142 11.237 -7.695 5.442 0.175 -1.571 -1.484
0.872 9.962 -7.098 10.659 -8.140 4.750 0.087 -1.571 -1.484
1.736 9.848 -6.142 11.237 -7.695 5.442 0.175 -1.571 -1.484
2.588 9.659 -5.139 11.730 -7.191 6.092 0.262 -1.571 -1.484
3.420 9.397 -4.097 12.133 -6.633 6.695 0.349 -1.571 -1.484
4.226 9.063 -3.024 12.444 -6.024 7.248 0.436 -1.571 -1.484
5.000 8.660 -1.928 12.660 -5.370 7.745 0.524 -1.571 -1.484
5.736 8.192 -0.817 12.780 -4.674 8.184 0.611 -1.571 -1.484
6.428 7.660 0.300 12.803 -3.943 8.560 0.698 -1.571 -1.484
6.428 7.660 -0.125 12.249 -3.982 7.653 0.698 -1.658 -1.484
6.428 7.660 -0.500 11.660 -3.942 6.746 0.698 -1.745 -1.484
6.428 7.660 -0.823 11.041 -3.823 5.845 0.698 -1.833 -1.484
6.428 7.660 -1.090 10.397 -3.625 4.959 0.698 -1.920 -1.484
6.428 7.660 -1.300 9.731 -3.352 4.093 0.698 -2.007 -1.484
6.428 7.660 -1.451 9.050 -3.004 3.254 0.698 -2.094 -1.484
6.428 7.660 -1.300 9.731 -3.352 4.093 0.698 -2.007 -1.484
6.428 7.660 -1.090 10.397 -3.625 4.959 0.698 -1.920 -1.484
6.428 7.660 -0.823 11.041 -3.823 5.845 0.698 -1.833 -1.484
6.428 7.660 -0.500 11.660 -3.942 6.746 0.698 -1.745 -1.484
7.071 7.071 0.518 11.660 -3.339 7.063 0.785 -1.745 -1.484
7.660 6.428 1.532 11.570 -2.711 7.328 0.873 -1.745 -1.484
8.192 5.736 2.535 11.393 -2.062 7.536 0.960 -1.745 -1.484
8.660 5.000 3.518 11.128 -1.397 7.687 1.047 -1.745 -1.484
9.063 4.226 4.474 10.779 -0.722 7.779 1.134 -1.745 -1.484
9.397 3.420 5.397 10.348 -0.041 7.813 1.222 -1.745 -1.484
9.659 2.588 6.278 9.839 0.640 7.787 1.309 -1.745 -1.484
9.848 1.736 7.112 9.254 1.316 7.701 1.396 -1.745 -1.484
9.962 0.872 7.891 8.599 1.983 7.557 1.484 -1.745 -1.484
9.848 1.736 7.112 9.254 1.316 7.701 1.396 -1.745 -1.484
9.659 2.588 6.278 9.839 0.640 7.787 1.309 -1.745 -1.484
9.397 3.420 5.397 10.348 -0.041 7.813 1.222 -1.745 -1.484
9.397 3.420 5.397 10.348 -0.241 8.296 1.222 -1.745 -1.396
9.397 3.420 5.397 10.348 -0.399 8.795 1.222 -1.745 -1.309
9.397 3.420 5.397 10.348 -0.512 9.307 1.222 -1.745 -1.222
9.397 3.420 5.397 10.348 -0.580 9.825 1.222 -1.745 -1.134
9.397 3.420 5.397 10.348 -0.603 10.348 1.222 -1.745 -1.047
9.397 3.420 5.397 10.348 -0.580 10.871 1.222 -1.745 -0.960
9.397 3.420 5.397 10.348 -0.512 11.390 1.222 -1.745 -0.873
9.397 3.420 5.397 10.348 -0.399 11.901 1.222 -1.745 -0.785
9.397 3.420 5.397 10.348 -0.241 12.401 1.222 -1.745 -0.698
9.397 3.420 5.397 10.348 -0.041 12.884 1.222 -1.745 -0.611
9.397 3.420 4.808 9.973 -0.830 12.026 1.222 -1.833 -0.611
9.397 3.420 4.255 9.549 -1.541 11.101 1.222 -1.920 -0.611
9.397 3.420 3.740 9.077 -2.169 10.119 1.222 -2.007 -0.611
9.397 3.420 3.269 8.563 -2.709 9.085 1.222 -2.094 -0.611
9.659 2.588 4.002 8.245 -1.906 9.287 1.309 -2.094 -0.611
9.848 1.736 4.706 7.865 -1.090 9.418 1.396 -2.094 -0.611
9.962 0.872 5.373 7.425 -0.265 9.477 1.484 -2.094 -0.611
9.962 0.872 5.373 7.425 -0.065 9.960 1.484 -2.094 -0.524
9.962 0.872 5.373 7.425 0.177 10.425 1.484 -2.094 -0.436
9.962 0.872 5.373 7.425 0.458 10.866 1.484 -2.094 -0.349
9.962 0.872 5.373 7.425 0.777 11.281 1.484 -2.094 -0.262
9.848 1.736 4.706 7.865 -0.209 11.306 1.396 -2.094 -0.262
9.659 2.588 4.002 8.245 -1.194 11.245 1.309 -2.094 -0.262
9.397 3.420 3.269 8.563 -2.169 11.098 1.222 -2.094 -0.262
9.063 4.226 2.510 8.815 -3.128 10.867 1.134 -2.094 -0.262
8.660 5.000 1.732 9.000 -4.064 10.553 1.047 -2.094 -0.262
8.192 5.736 0.941 9.117 -4.968 10.159 0.960 -2.094 -0.262
