#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.872 9.962 1.569 17.932 2.092 23.909 0.087 0.000 0.000
0.872 9.962 1.569 17.932 1.569 23.932 0.087 0.000 -0.087
0.872 9.962 1.569 17.932 1.046 23.909 0.087 0.000 -0.175
0.872 9.962 1.569 17.932 0.527 23.840 0.087 0.000 -0.262
0.872 9.962 1.569 17.932 0.016 23.727 0.087 0.000 -0.349
0.872 9.962 1.569 17.932 -0.483 23.570 0.087 0.000 -0.436
0.872 9.962 1.569 17.932 -0.967 23.369 0.087 0.000 -0.524
0.872 9.962 1.569 17.932 -1.431 23.128 0.087 0.000 -0.611
0.872 9.962 1.569 17.932 -1.873 22.846 0.087 0.000 -0.698
0.872 9.962 1.569 17.932 -2.288 22.528 0.087 0.000 -0.785
0.872 9.962 2.261 17.840 -1.181 22.755 0.087 0.087 -0.785
0.872 9.962 2.942 17.689 -0.058 22.886 0.087 0.175 -0.785
0.000 10.000 1.389 17.878 -2.052 22.793 0.000 0.175 -0.785
-0.872 9.962 -0.174 17.932 -4.031 22.528 -0.087 0.175 -0.785
-1.736 9.848 -1.736 17.848 -5.979 22.091 -0.175 0.175 -0.785
-2.588 9.659 -3.285 17.629 -7.882 21.486 -0.262 0.175 -0.785
-3.420 9.397 -4.809 17.275 -9.724 20.717 -0.349 0.175 -0.785
-4.226 9.063 -6.297 16.790 -11.493 19.790 -0.436 0.175 -0.785
-5.000 8.660 -7.736 16.178 -13.174 18.714 -0.524 0.175 -0.785
-5.736 8.192 -9.117 15.442 -14.755 17.494 -0.611 0.175 -0.785
-6.428 7.660 -10.428 14.589 -16.223 16.142 -0.698 0.175 -0.785
-7.071 7.071 -11.660 13.624 -17.569 14.666 -0.785 0.175 -0.785
-7.660 6.428 -12.803 12.556 -18.780 13.079 -0.873 0.175 -0.785
-8.192 5.736 -13.848 11.393 -19.848 11.393 -0.960 0.175 -0.785
-7.660 6.428 -12.803 12.556 -18.780 13.079 -0.873 0.175 -0.785
-7.071 7.071 -11.660 13.624 -17.569 14.666 -0.785 0.175 -0.785
-6.428 7.660 -10.428 14.589 -16.223 16.142 -0.698 0.175 -0.785
-5.736 8.192 -9.117 15.442 -14.755 17.494 -0.611 0.175 -0.785
-5.000 8.660 -7.736 16.178 -13.174 18.714 -0.524 0.175 -0.785
-4.226 9.063 -6.297 16.790 -11.493 19.790 -0.436 0.175 -0.785
-4.226 9.063 -6.297 16.790 -11.212 20.232 -0.436 0.175 -0.698
-4.226 9.063 -6.297 16.790 -10.893 20.647 -0.436 0.175 -0.611
-4.226 9.063 -6.297 16.790 -10.539 21.033 -0.436 0.175 -0.524
-4.226 9.063 -6.297 16.790 -10.153 21.387 -0.436 0.175 -0.436
-4.226 9.063 -6.297 16.790 -9.738 21.705 -0.436 0.175 -0.349
-4.226 9.063 -6.297 16.790 -9.297 21.987 -0.436 0.175 -0.262
-4.226 9.063 -6.297 16.790 -8.832 22.228 -0.436 0.175 -0.175
-4.226 9.063 -6.297 16.790 -8.349 22.429 -0.436 0.175 -0.087
-4.226 9.063 -6.297 16.790 -7.850 22.586 -0.436 0.175 0.000
-4.226 9.063 -6.962 16.581 -9.014 22.219 -0.436 0.087 0.000
-4.226 9.063 -7.607 16.314 -10.143 21.751 -0.436 -0.000 0.000
-4.226 9.063 -8.226 15.991 -11.226 21.187 -0.436 -0.087 0.000
-4.226 9.063 -8.815 15.616 -12.256 20.531 -0.436 -0.175 0.000
-4.226 9.063 -9.368 15.191 -13.225 19.788 -0.436 -0.262 0.000
-4.226 9.063 -9.883 14.720 -14.126 18.963 -0.436 -0.349 0.000
-4.226 9.063 -10.355 14.205 -14.951 18.062 -0.436 -0.436 0.000
-3.420 9.397 -9.077 15.054 -13.320 19.296 -0.349 -0.436 0.000
-2.588 9.659 -7.730 15.788 -11.587 20.384 -0.262 -0.436 0.000
-1.736 9.848 -6.325 16.401 -9.767 21.316 -0.175 -0.436 0.000
-0.872 9.962 -4.872 16.890 -7.872 22.086 -0.087 -0.436 0.000
-1.736 9.848 -6.325 16.401 -9.767 21.316 -0.175 -0.436 0.000
-2.588 9.659 -7.730 15.788 -11.587 20.384 -0.262 -0.436 0.000
-3.420 9.397 -9.077 15.054 -13.320 19.296 -0.349 -0.436 0.000
-4.226 9.063 -10.355 14.205 -14.951 18.062 -0.436 -0.436 0.000
-5.000 8.660 -11.553 13.249 -16.468 16.690 -0.524 -0.436 0.000
-5.736 8.192 -12.664 12.192 -17.860 15.192 -0.611 -0.436 0.000
-6.428 7.660 -13.678 11.041 -19.116 13.577 -0.698 -0.436 0.000
-7.071 7.071 -14.589 9.807 -20.227 11.859 -0.785 -0.436 0.000
-7.071 7.071 -14.589 9.807 -20.026 12.343 -0.785 -0.436 0.087
-7.071 7.071 -14.589 9.807 -19.785 12.807 -0.785 -0.436 0.175
-7.071 7.071 -14.589 9.807 -19.504 13.249 -0.785 -0.436 0.262
-6.428 7.660 -13.678 11.041 -18.275 14.898 -0.698 -0.436 0.262
-5.736 8.192 -12.664 12.192 -16.907 16.434 -0.611 -0.436 0.262
-5.000 8.660 -11.553 13.249 -15.410 17.845 -0.524 -0.436 0.262
-4.226 9.063 -10.355 14.205 -13.796 19.120 -0.436 -0.436 0.262
-5.000 8.660 -11.553 13.249 -15.410 17.845 -0.524 -0.436 0.262
-5.736 8.192 -12.664 12.192 -16.907 16.434 -0.611 -0.436 0.262
-6.428 7.660 -13.678 11.041 -18.275 14.898 -0.698 -0.436 0.262
-7.071 7.071 -14.589 9.807 -19.504 13.249 -0.785 -0.436 0.262
-7.071 7.071 -14.589 9.807 -19.185 13.664 -0.785 -0.436 0.349
-7.071 7.071 -14.589 9.807 -18.831 14.050 -0.785 -0.436 0.436
-7.071 7.071 -14.589 9.807 -18.445 14.403 -0.785 -0.436 0.524
-7.071 7.071 -14.589 9.807 -18.030 14.722 -0.785 -0.436 0.611
-7.071 7.071 -14.322 10.452 -17.322 15.648 -0.785 -0.349 0.611
-7.071 7.071 -13.999 11.071 -16.535 16.509 -0.785 -0.262 0.611
-7.071 7.071 -13.624 11.660 -15.676 17.298 -0.785 -0.175 0.611
-7.071 7.071 -13.199 12.213 -14.752 18.009 -0.785 -0.087 0.611
-7.071 7.071 -12.728 12.728 -13.770 18.637 -0.785 -0.000 0.611
-7.071 7.071 -12.213 13.199 -12.736 19.177 -0.785 0.087 0.611
-7.071 7.071 -11.660 13.624 -11.660 19.624 -0.785 0.175 0.611
-7.071 7.071 -11.071 13.999 -10.548 19.976 -0.785 0.262 0.611
-7.071 7.071 -10.452 14.322 -9.410 20.230 -0.785 0.349 0.611
-7.071 7.071 -10.452 14.322 -8.899 20.117 -0.785 0.349 0.698
-7.071 7.071 -10.452 14.322 -8.400 19.960 -0.785 0.349 0.785
-7.071 7.071 -10.452 14.322 -7.916 19.759 -0.785 0.349 0.873
-7.071 7.071 -10.452 14.322 -7.452 19.518 -0.785 0.349 0.960
-7.660 6.428 -11.660 13.356 -9.125 18.794 -0.873 0.349 0.960
-8.192 5.736 -12.780 12.289 -10.728 17.927 -0.960 0.349 0.960
-8.660 5.000 -13.803 11.128 -12.250 16.924 -1.047 0.349 0.960
-9.063 4.226 -14.720 9.883 -13.678 15.792 -1.134 0.349 0.960
-9.397 3.420 -15.525 8.563 -15.002 14.540 -1.222 0.349 0.960
