#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
-0.872 9.962 -1.569 17.932 -2.092 23.909 -0.087 0.000 0.000
-1.736 9.848 -3.126 17.727 -4.168 23.635 -0.175 0.000 0.000
-2.588 9.659 -4.659 17.387 -6.212 23.182 -0.262 0.000 0.000
-3.420 9.397 -6.156 16.914 -8.208 22.553 -0.349 0.000 0.000
-2.588 9.659 -4.659 17.387 -6.212 23.182 -0.262 0.000 0.000
-1.736 9.848 -3.126 17.727 -4.168 23.635 -0.175 0.000 0.000
-0.872 9.962 -1.569 17.932 -2.092 23.909 -0.087 0.000 0.000
0.000 10.000 0.000 18.000 0.000 24.000 0.000 0.000 0.000
0.872 9.962 1.569 17.932 2.092 23.909 0.087 0.000 0.000
0.000 10.000 0.000 18.000 0.000 24.000 0.000 0.000 0.000
-0.872 9.962 -1.569 17.932 -2.092 23.909 -0.087 0.000 0.000
-1.736 9.848 -3.126 17.727 -4.168 23.635 -0.175 0.000 0.000
-2.588 9.659 -4.659 17.387 -6.212 23.182 -0.262 0.000 0.000
-1.736 9.848 -3.126 17.727 -4.168 23.635 -0.175 0.000 0.000
-0.872 9.962 -1.569 17.932 -2.092 23.909 -0.087 0.000 0.000
0.000 10.000 0.000 18.000 0.000 24.000 0.000 0.000 0.000
0.872 9.962 1.569 17.932 2.092 23.909 0.087 0.000 0.000
0.872 9.962 1.569 17.932 1.569 23.932 0.087 0.000 -0.087
0.872 9.962 1.569 17.932 1.046 23.909 0.087 0.000 -0.175
0.872 9.962 1.569 17.932 0.527 23.840 0.087 0.000 -0.262
0.872 9.962 1.569 17.932 0.016 23.727 0.087 0.000 -0.349
0.872 9.962 1.569 17.932 -0.483 23.570 0.087 0.000 -0.436
0.872 9.962 1.569 17.932 -0.967 23.369 0.087 0.000 -0.524
0.872 9.962 1.569 17.932 -1.431 23.128 0.087 0.000 -0.611
0.872 9.962 2.261 17.840 -0.275 23.278 0.087 0.087 -0.611
0.872 9.962 2.942 17.689 0.890 23.328 0.087 0.175 -0.611
0.872 9.962 2.942 17.689 1.389 23.485 0.087 0.175 -0.524
0.872 9.962 2.942 17.689 1.900 23.598 0.087 0.175 -0.436
0.872 9.962 2.942 17.689 2.419 23.667 0.087 0.175 -0.349
0.872 9.962 2.942 17.689 2.942 23.689 0.087 0.175 -0.262
0.872 9.962 2.942 17.689 3.465 23.667 0.087 0.175 -0.175
0.872 9.962 2.942 17.689 3.984 23.598 0.087 0.175 -0.087
0.872 9.962 2.942 17.689 4.495 23.485 0.087 0.175 0.000
0.872 9.962 2.942 17.689 4.994 23.328 0.087 0.175 0.087
0.872 9.962 2.942 17.689 5.478 23.127 0.087 0.175 0.175
0.000 10.000 1.389 17.878 3.441 23.517 0.000 0.175 0.175
-0.872 9.962 -0.174 17.932 1.379 23.727 -0.087 0.175 0.175
-1.736 9.848 -1.736 17.848 -0.695 23.757 -0.175 0.175 0.175
-2.588 9.659 -3.285 17.629 -2.763 23.606 -0.262 0.175 0.175
-3.420 9.397 -4.809 17.275 -4.809 23.275 -0.349 0.175 0.175
-4.226 9.063 -6.297 16.790 -6.820 22.768 -0.436 0.175 0.175
-5.000 8.660 -7.736 16.178 -8.778 22.087 -0.524 0.175 0.175
-5.736 8.192 -9.117 15.442 -10.670 21.238 -0.611 0.175 0.175
-6.428 7.660 -10.428 14.589 -12.480 20.227 -0.698 0.175 0.175
-7.071 7.071 -11.660 13.624 -14.195 19.062 -0.785 0.175 0.175
-7.660 6.428 -12.803 12.556 -15.803 17.752 -0.873 0.175 0.175
-7.660 6.428 -12.803 12.556 -16.244 17.471 -0.873 0.175 0.087
-7.660 6.428 -12.803 12.556 -16.659 17.152 -0.873 0.175 0.000
-7.660 6.428 -12.803 12.556 -17.045 16.799 -0.873 0.175 -0.087
-7.660 6.428 -12.803 12.556 -17.399 16.413 -0.873 0.175 -0.175
-7.660 6.428 -12.803 12.556 -17.718 15.998 -0.873 0.175 -0.262
-7.660 6.428 -12.803 12.556 -17.999 15.556 -0.873 0.175 -0.349
-7.660 6.428 -12.803 12.556 -18.241 15.092 -0.873 0.175 -0.436
-7.071 7.071 -11.660 13.624 -16.856 16.624 -0.785 0.175 -0.436
-6.428 7.660 -10.428 14.589 -15.343 18.030 -0.698 0.175 -0.436
-5.736 8.192 -9.117 15.442 -13.713 19.299 -0.611 0.175 -0.436
-5.000 8.660 -7.736 16.178 -11.979 20.420 -0.524 0.175 -0.436
-5.000 8.660 -7.736 16.178 -11.593 20.774 -0.524 0.175 -0.349
-5.000 8.660 -7.736 16.178 -11.178 21.093 -0.524 0.175 -0.262
-5.000 8.660 -7.736 16.178 -10.736 21.374 -0.524 0.175 -0.175
-5.000 8.660 -7.736 16.178 -10.272 21.616 -0.524 0.175 -0.087
-5.000 8.660 -7.736 16.178 -9.788 21.816 -0.524 0.175 0.000
-5.000 8.660 -7.736 16.178 -9.289 21.973 -0.524 0.175 0.087
-5.000 8.660 -7.736 16.178 -9.788 21.816 -0.524 0.175 0.000
-5.000 8.660 -7.736 16.178 -10.272 21.616 -0.524 0.175 -0.087
-5.000 8.660 -7.736 16.178 -10.736 21.374 -0.524 0.175 -0.175
-5.000 8.660 -7.736 16.178 -11.178 21.093 -0.524 0.175 -0.262
-5.000 8.660 -8.381 15.911 -12.238 20.507 -0.524 0.087 -0.262
-5.000 8.660 -9.000 15.588 -13.243 19.831 -0.524 -0.000 -0.262
-5.000 8.660 -9.589 15.213 -14.185 19.070 -0.524 -0.087 -0.262
-5.000 8.660 -10.142 14.789 -15.057 18.230 -0.524 -0.175 -0.262
-5.000 8.660 -10.657 14.317 -15.853 17.317 -0.524 -0.262 -0.262
-5.000 8.660 -11.128 13.803 -16.566 16.338 -0.524 -0.349 -0.262
-5.000 8.660 -11.553 13.249 -17.191 15.301 -0.524 -0.436 -0.262
-4.226 9.063 -10.355 14.205 -15.792 16.741 -0.436 -0.436 -0.262
-3.420 9.397 -9.077 15.054 -14.273 18.054 -0.349 -0.436 -0.262
-2.588 9.659 -7.730 15.788 -12.645 19.229 -0.262 -0.436 -0.262
-1.736 9.848 -6.325 16.401 -10.921 20.258 -0.175 -0.436 -0.262
-0.872 9.962 -4.872 16.890 -9.114 21.133 -0.087 -0.436 -0.262
0.000 10.000 -3.381 17.250 -7.238 21.847 0.000 -0.436 -0.262
0.872 9.962 -1.865 17.479 -5.306 22.394 0.087 -0.436 -0.262
1.736 9.848 -0.334 17.575 -3.334 22.772 0.175 -0.436 -0.262
1.736 9.848 -1.000 17.366 -4.441 22.281 0.175 -0.524 -0.262
1.736 9.848 -1.644 17.099 -5.501 21.695 0.175 -0.611 -0.262
1.736 9.848 -2.264 16.776 -6.506 21.019 0.175 -0.698 -0.262
1.736 9.848 -2.852 16.401 -7.448 20.258 0.175 -0.785 -0.262
1.736 9.848 -3.406 15.976 -8.321 19.418 0.175 -0.873 -0.262
1.736 9.848 -3.920 15.505 -9.117 18.505 0.175 -0.960 -0.262
1.736 9.848 -4.392 14.990 -9.830 17.526 0.175 -1.047 -0.262
1.736 9.848 -4.817 14.437 -10.455 16.489 0.175 -1.134 -0.262
1.736 9.848 -5.192 13.848 -10.987 15.401 0.175 -1.222 -0.262
1.736 9.848 -5.192 13.848 -10.830 15.900 0.175 -1.222 -0.175
