#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.000 10.000 -0.697 17.970 -1.220 23.947 0.000 -0.087 0.000
0.000 10.000 -1.389 17.878 -2.431 23.787 0.000 -0.175 0.000
0.000 10.000 -2.071 17.727 -3.623 23.523 0.000 -0.262 0.000
0.872 9.962 -0.518 17.840 -1.560 23.749 0.087 -0.262 0.000
1.736 9.848 1.039 17.818 0.516 23.795 0.175 -0.262 0.000
1.736 9.848 0.347 17.727 -0.695 23.635 0.175 -0.349 0.000
1.736 9.848 -0.334 17.575 -1.887 23.371 0.175 -0.436 0.000
1.736 9.848 -1.000 17.366 -3.052 23.004 0.175 -0.524 0.000
1.736 9.848 -1.644 17.099 -4.180 22.536 0.175 -0.611 0.000
1.736 9.848 -2.264 16.776 -5.264 21.972 0.175 -0.698 0.000
1.736 9.848 -2.852 16.401 -6.294 21.316 0.175 -0.785 0.000
1.736 9.848 -3.406 15.976 -7.263 20.573 0.175 -0.873 0.000
1.736 9.848 -3.920 15.505 -8.163 19.748 0.175 -0.960 0.000
1.736 9.848 -4.392 14.990 -8.988 18.847 0.175 -1.047 0.000
1.736 9.848 -4.817 14.437 -9.732 17.878 0.175 -1.134 0.000
1.736 9.848 -5.192 13.848 -10.388 16.848 0.175 -1.222 0.000
1.736 9.848 -5.514 13.229 -10.952 15.765 0.175 -1.309 0.000
1.736 9.848 -5.781 12.584 -11.419 14.636 0.175 -1.396 0.000
1.736 9.848 -5.991 11.919 -11.786 13.472 0.175 -1.484 0.000
1.736 9.848 -6.142 11.237 -12.051 12.279 0.175 -1.571 0.000
1.736 9.848 -6.233 10.545 -12.210 11.068 0.175 -1.658 0.000
1.736 9.848 -6.264 9.848 -12.264 9.848 0.175 -1.745 0.000
1.736 9.848 -6.233 9.151 -12.210 8.628 0.175 -1.833 0.000
1.736 9.848 -6.142 8.459 -12.051 7.417 0.175 -1.920 0.000
1.736 9.848 -5.991 7.778 -11.786 6.225 0.175 -2.007 0.000
1.736 9.848 -5.781 7.112 -11.419 5.060 0.175 -2.094 0.000
1.736 9.848 -5.781 7.112 -11.219 4.576 0.175 -2.094 -0.087
1.736 9.848 -5.781 7.112 -10.977 4.112 0.175 -2.094 -0.175
1.736 9.848 -5.781 7.112 -10.696 3.670 0.175 -2.094 -0.262
1.736 9.848 -5.781 7.112 -10.377 3.255 0.175 -2.094 -0.349
1.736 9.848 -5.781 7.112 -10.024 2.869 0.175 -2.094 -0.436
1.736 9.848 -5.781 7.112 -9.638 2.516 0.175 -2.094 -0.524
1.736 9.848 -5.781 7.112 -9.223 2.197 0.175 -2.094 -0.611
1.736 9.848 -5.781 7.112 -8.781 1.916 0.175 -2.094 -0.698
1.736 9.848 -5.781 7.112 -8.317 1.674 0.175 -2.094 -0.785
1.736 9.848 -5.781 7.112 -7.833 1.474 0.175 -2.094 -0.873
1.736 9.848 -5.781 7.112 -7.334 1.316 0.175 -2.094 -0.960
0.872 9.962 -6.379 6.581 -7.421 0.672 0.087 -2.094 -0.960
-0.000 10.000 -6.928 6.000 -7.451 0.023 -0.000 -2.094 -0.960
-0.000 10.000 -6.928 6.000 -7.970 0.091 -0.000 -2.094 -0.873
-0.000 10.000 -6.928 6.000 -8.481 0.204 -0.000 -2.094 -0.785
-0.000 10.000 -6.928 6.000 -8.980 0.362 -0.000 -2.094 -0.698
-0.000 10.000 -6.928 6.000 -9.464 0.562 -0.000 -2.094 -0.611
-0.000 10.000 -6.928 6.000 -9.928 0.804 -0.000 -2.094 -0.524
-0.000 10.000 -6.928 6.000 -10.370 1.085 -0.000 -2.094 -0.436
