#a1_X a1_Y a2_X a2_Y a3_X a3_Y j_1 j_2 j_3
0.000 10.000 0.000 18.000 -0.523 23.977 0.000 0.000 -0.087
0.000 10.000 0.000 18.000 -1.042 23.909 0.000 0.000 -0.175
0.000 10.000 0.000 18.000 -1.553 23.796 0.000 0.000 -0.262
0.000 10.000 0.000 18.000 -2.052 23.638 0.000 0.000 -0.349
0.000 10.000 0.000 18.000 -2.536 23.438 0.000 0.000 -0.436
0.000 10.000 0.000 18.000 -3.000 23.196 0.000 0.000 -0.524
0.000 10.000 0.000 18.000 -3.441 22.915 0.000 0.000 -0.611
0.000 10.000 0.000 18.000 -3.857 22.596 0.000 0.000 -0.698
0.000 10.000 0.000 18.000 -4.243 22.243 0.000 0.000 -0.785
0.000 10.000 0.000 18.000 -4.596 21.857 0.000 0.000 -0.873
0.000 10.000 0.000 18.000 -4.915 21.441 0.000 0.000 -0.960
0.000 10.000 0.000 18.000 -5.196 21.000 0.000 0.000 -1.047
0.000 10.000 0.000 18.000 -5.438 20.536 0.000 0.000 -1.134
0.000 10.000 0.000 18.000 -5.638 20.052 0.000 0.000 -1.222
0.000 10.000 0.000 18.000 -5.796 19.553 0.000 0.000 -1.309
0.000 10.000 0.000 18.000 -5.909 19.042 0.000 0.000 -1.396
0.000 10.000 -0.697 17.970 -6.674 18.492 0.000 -0.087 -1.396
0.000 10.000 -1.389 17.878 -7.389 17.878 0.000 -0.175 -1.396
0.000 10.000 -2.071 17.727 -8.048 17.204 0.000 -0.262 -1.396
0.000 10.000 -2.736 17.518 -8.645 16.476 0.000 -0.349 -1.396
0.000 10.000 -2.736 17.518 -8.713 16.995 0.000 -0.349 -1.309
0.000 10.000 -2.736 17.518 -8.736 17.518 0.000 -0.349 -1.222
0.000 10.000 -2.736 17.518 -8.713 18.040 0.000 -0.349 -1.134
0.000 10.000 -2.736 17.518 -8.645 18.559 0.000 -0.349 -1.047
-0.872 9.962 -4.253 17.212 -10.230 17.735 -0.087 -0.349 -1.047
-1.736 9.848 -5.736 16.776 -11.736 16.776 -0.175 -0.349 -1.047
-2.588 9.659 -7.177 16.212 -13.154 15.690 -0.262 -0.349 -1.047
-3.420 9.397 -8.563 15.525 -14.471 14.483 -0.349 -0.349 -1.047
-4.226 9.063 -9.883 14.720 -15.679 13.167 -0.436 -0.349 -1.047
-4.226 9.063 -9.368 15.191 -15.277 14.150 -0.436 -0.262 -1.047
-4.226 9.063 -8.815 15.616 -14.792 15.093 -0.436 -0.175 -1.047
-4.226 9.063 -8.226 15.991 -14.226 15.991 -0.436 -0.087 -1.047
-4.226 9.063 -7.607 16.314 -13.584 16.836 -0.436 0.000 -1.047
-5.000 8.660 -9.000 15.588 -15.000 15.588 -0.524 0.000 -1.047
-5.736 8.192 -10.324 14.745 -16.302 14.222 -0.611 0.000 -1.047
-6.428 7.660 -11.570 13.789 -17.479 12.747 -0.698 0.000 -1.047
-7.071 7.071 -12.728 12.728 -18.523 11.175 -0.785 0.000 -1.047
-6.428 7.660 -11.570 13.789 -17.479 12.747 -0.698 0.000 -1.047
-5.736 8.192 -10.324 14.745 -16.302 14.222 -0.611 0.000 -1.047
-5.000 8.660 -9.000 15.588 -15.000 15.588 -0.524 0.000 -1.047
-4.226 9.063 -7.607 16.314 -13.584 16.836 -0.436 0.000 -1.047
-3.420 9.397 -6.156 16.914 -12.065 17.956 -0.349 0.000 -1.047
-2.588 9.659 -4.659 17.387 -10.454 18.940 -0.262 0.000 -1.047
-1.736 9.848 -3.126 17.727 -8.764 19.779 -0.175 0.000 -1.047
-0.872 9.962 -1.569 17.932 -7.007 20.467 -0.087 0.000 -1.047
-0.872 9.962 -0.872 17.962 -6.068 20.962 -0.087 0.087 -1.047
-0.872 9.962 -0.174 17.932 -5.089 21.373 -0.087 0.175 -1.047
-0.872 9.962 0.518 17.840 -4.079 21.697 -0.087 0.262 -1.047
-0.872 9.962 1.199 17.689 -3.044 21.932 -0.087 0.349 -1.047
-0.872 9.962 0.518 17.840 -4.079 21.697 -0.087 0.262 -1.047
-0.872 9.962 -0.174 17.932 -5.089 21.373 -0.087 0.175 -1.047
-0.872 9.962 -0.872 17.962 -6.068 20.962 -0.087 0.087 -1.047
-0.872 9.962 -1.569 17.932 -7.007 20.467 -0.087 0.000 -1.047
-0.872 9.962 -2.261 17.840 -7.899 19.893 -0.087 -0.087 -1.047
-0.872 9.962 -2.942 17.689 -8.738 19.242 -0.087 -0.175 -1.047
-0.872 9.962 -3.608 17.479 -9.517 18.521 -0.087 -0.262 -1.047
-0.872 9.962 -4.253 17.212 -10.230 17.735 -0.087 -0.349 -1.047
-0.872 9.962 -4.872 16.890 -10.872 16.890 -0.087 -0.436 -1.047
-0.872 9.962 -5.460 16.515 -11.437 15.992 -0.087 -0.524 -1.047
-0.872 9.962 -6.014 16.090 -11.923 15.048 -0.087 -0.611 -1.047
-0.872 9.962 -6.528 15.619 -12.324 14.066 -0.087 -0.698 -1.047
-0.872 9.962 -6.528 15.619 -12.167 13.567 -0.087 -0.698 -1.134
-0.872 9.962 -6.528 15.619 -11.966 13.083 -0.087 -0.698 -1.222
-0.872 9.962 -6.528 15.619 -11.725 12.619 -0.087 -0.698 -1.309
-0.872 9.962 -6.528 15.619 -11.443 12.177 -0.087 -0.698 -1.396
-0.872 9.962 -6.528 15.619 -11.125 11.762 -0.087 -0.698 -1.484
-0.872 9.962 -6.528 15.619 -10.771 11.376 -0.087 -0.698 -1.571
0.000 10.000 -5.142 16.128 -9.739 12.272 0.000 -0.698 -1.571
0.872 9.962 -3.717 16.515 -8.632 13.074 0.087 -0.698 -1.571
1.736 9.848 -2.264 16.776 -7.460 13.776 0.175 -0.698 -1.571
2.588 9.659 -0.793 16.910 -6.231 14.374 0.262 -0.698 -1.571
2.588 9.659 -0.148 17.177 -5.786 15.125 0.262 -0.611 -1.571
2.588 9.659 0.518 17.387 -5.278 15.834 0.262 -0.524 -1.571
2.588 9.659 -0.148 17.177 -5.786 15.125 0.262 -0.611 -1.571
2.588 9.659 -0.793 16.910 -6.231 14.374 0.262 -0.698 -1.571
2.588 9.659 -1.412 16.587 -6.608 13.587 0.262 -0.785 -1.571
2.588 9.659 -2.000 16.212 -6.915 12.771 0.262 -0.873 -1.571
