# (_5_15_) start end
2 2 1 0 2
2 1 1 3 4
2 1 2 5 16
2 1 1 17 24
2 2 1 25 28
1 2 1 29 32
1 2 0 33 34
1 2 1 35 39
1 2 0 40 48
1 2 1 49 49
1 2 0 50 62
2 1 1 63 63
1 2 0 64 68
2 2 0 69 69
2 2 1 70 71
2 1 1 72 82
2 2 1 83 83
2 1 1 84 86
2 1 0 87 87
2 1 1 88 90
2 2 1 91 92
2 1 1 93 94
2 2 1 95 96
1 2 1 97 99
1 2 0 100 104
1 2 1 105 107
2 2 1 108 109
2 1 1 110 116
2 1 2 117 117
2 0 2 118 118
2 1 2 119 120
2 1 1 121 129
2 1 0 130 130
1 1 0 131 131
1 2 0 132 144
1 1 0 145 145
2 1 0 146 146
2 1 1 147 155
2 1 2 156 156
