# (_5_15_) start end
2 2 1 0 2
2 1 1 3 4
2 1 2 5 9
2 0 2 10 11
2 1 2 12 17
2 1 1 18 30
2 1 2 31 37
2 0 2 38 40
2 1 2 41 45
2 0 2 46 54
2 1 1 55 69
2 1 0 70 70
2 1 1 71 81
2 0 1 82 84
2 1 1 85 87
2 0 1 88 89
2 0 2 90 96
2 0 1 97 97
2 1 1 98 103
2 2 1 104 104
2 2 0 105 105
2 2 1 106 106
2 1 1 107 113
2 0 1 114 114
2 0 2 115 126
2 1 2 127 134
2 1 1 135 143
2 2 0 144 144
1 2 0 145 150
1 1 0 151 151
2 1 0 152 152
2 1 1 153 153
2 1 0 154 154
1 1 0 155 155
1 2 0 156 161
2 2 0 162 162
2 1 1 163 174
2 2 1 175 177
2 1 1 178 182
